x,y,F,PG
8,-2,-9,-9.030605496083886
9,-2,-9,-9.030605496083886
10,-2,-9,-9.030605496083886
-10,-1,-16,-15.983092695591166
-9,-1,-15,-14.983092695591166
-8,-1,-14,-13.983092695591166
-7,-1,-13,-12.983092695591166
-6,-1,-12,-11.983092695591166
-5,-1,-11,-10.983092695591166
-4,-1,-10,-9.983092695591166
-3,-1,-9,-8.983092695591166
-2,-1,-8,-7.983092695591168
-1,-1,-7,-6.983092695591168
0,-1,-6,-5.983092695591168
1,-1,-5,-4.983092695591168
2,-1,-4,-3.983092695591168
3,-1,-3,-2.9830926955911696
4,-1,-2,-1.9830926955911696
5,-1,-1,-0.9830926955911696
6,-1,0,0.01690730440883037
7,-1,1,1.0169073044088304
8,-1,2,2.0169073044088304
9,-1,3,3.0169073044088304
10,-1,4,4.01690730440883
-10,0,-23,-22.93557989509845
-9,0,-21,-20.93557989509845
-8,0,-19,-18.93557989509845
-7,0,-17,-16.93557989509845
-6,0,-15,-14.93557989509845
-5,0,-13,-12.93557989509845
-4,0,-11,-10.93557989509845
-3,0,-9,-8.93557989509845
-2,0,-7,-6.935579895098449
-1,0,-5,-4.935579895098451
0,0,-3,-2.935579895098451
1,0,-1,-0.9355798950984511
2,0,1,1.064420104901549
3,0,3,3.064420104901549
4,0,5,5.064420104901549
5,0,7,7.064420104901549
6,0,9,9.064420104901549
7,0,11,11.064420104901549
8,0,13,13.064420104901549
9,0,15,15.064420104901549
10,0,17,17.06442010490155
-10,1,-30,-29.888067094605738
-9,1,-27,-26.888067094605738
-8,1,-24,-23.888067094605738
-7,1,-21,-20.888067094605738
-6,1,-18,-17.888067094605738
-5,1,-15,-14.888067094605736
-4,1,-12,-11.888067094605733
-3,1,-9,-8.888067094605733
-2,1,-6,-5.8880670946057325
-1,1,-3,-2.8880670946057343
0,1,0,0.1119329053942657
1,1,3,3.1119329053942657
2,1,6,6.111932905394266
3,1,9,9.111932905394266
4,1,12,12.111932905394266
5,1,15,15.111932905394266
6,1,18,18.111932905394266
7,1,21,21.111932905394266
8,1,24,24.111932905394266
9,1,27,27.111932905394266
10,1,30,30.11193290539427
-10,2,-37,-36.84055429411302
-9,2,-33,-32.84055429411302
-8,2,-29,-28.840554294113023
-7,2,-25,-24.840554294113023
-6,2,-21,-20.840554294113023
-5,2,-17,-16.84055429411302
-4,2,-13,-12.84055429411302
-3,2,-9,-8.84055429411302
-2,2,-5,-4.840554294113016
-1,2,-1,-0.8405542941130175
0,2,3,3.1594457058869825
1,2,7,7.1594457058869825
2,2,11,11.159445705886982
3,2,15,15.159445705886982
4,2,19,19.15944570588698
5,2,23,23.15944570588698
6,2,27,27.15944570588698
7,2,31,31.159445705886984
8,2,35,35.15944570588698
9,2,39,39.15944570588698
10,2,43,43.15944570588698
-10,3,-44,-43.79304149362031
-9,3,-39,-38.79304149362031
-8,3,-34,-33.79304149362031
-7,3,-29,-28.793041493620308
-6,3,-24,-23.793041493620308
-5,3,-19,-18.793041493620308
-4,3,-14,-13.793041493620303
-3,3,-9,-8.793041493620303
-2,3,-4,-3.793041493620299
-1,3,1,1.2069585063796993
0,3,6,6.206958506379699
1,3,11,11.2069585063797
2,3,16,16.2069585063797
3,3,21,21.2069585063797
4,3,26,26.2069585063797
5,3,31,31.2069585063797
6,3,36,36.2069585063797
7,3,41,41.2069585063797
8,3,46,46.2069585063797
9,3,51,51.20695850637969
10,3,56,56.20695850637969
-10,4,-51,-50.74552869312759
-9,4,-45,-44.74552869312759
-8,4,-39,-38.74552869312759
-7,4,-33,-32.74552869312759
-6,4,-27,-26.74552869312759
-5,4,-21,-20.74552869312759
-4,4,-15,-14.74552869312759
-3,4,-9,-8.745528693127586
-2,4,-3,-2.7455286931275857
-1,4,3,3.254471306872416
0,4,9,9.254471306872416
1,4,15,15.254471306872416
2,4,21,21.254471306872418
3,4,27,27.254471306872418
4,4,33,33.25447130687242
5,4,39,39.25447130687242
6,4,45,45.25447130687242
7,4,51,51.25447130687241
8,4,57,57.25447130687241
9,4,63,63.25447130687241
10,4,69,69.2544713068724
-10,5,-58,-57.69801589263487
-9,5,-51,-50.69801589263487
-8,5,-44,-43.69801589263487
-7,5,-37,-36.69801589263487
-6,5,-30,-29.69801589263487
-5,5,-23,-22.69801589263487
-4,5,-16,-15.69801589263487
-3,5,-9,-8.698015892634867
-2,5,-2,-1.6980158926348672
-1,5,5,5.301984107365135
0,5,12,12.301984107365135
1,5,19,19.301984107365136
2,5,26,26.301984107365136
3,5,33,33.301984107365136
4,5,40,40.301984107365136
5,5,47,47.30198410736513
6,5,54,54.30198410736513
7,5,61,61.30198410736513
8,5,68,68.30198410736513
9,5,75,75.30198410736513
10,5,82,82.30198410736513
-10,6,-65,-64.65050309214215
-9,6,-57,-56.65050309214216
-8,6,-49,-48.65050309214216
-7,6,-41,-40.65050309214216
-6,6,-33,-32.65050309214216
-5,6,-25,-24.650503092142156
-4,6,-17,-16.650503092142156
-3,6,-9,-8.650503092142152
-2,6,-1,-0.6505030921421522
-1,6,7,7.34949690785785
0,6,15,15.34949690785785
1,6,23,23.349496907857848
2,6,31,31.349496907857848
3,6,39,39.349496907857855
4,6,47,47.34949690785785
5,6,55,55.34949690785784
6,6,63,63.34949690785784
7,6,71,71.34949690785784
8,6,79,79.34949690785784
9,6,87,87.34949690785784
10,6,95,95.34949690785784
-10,7,-72,-71.60299029164943
-9,7,-63,-62.60299029164943
-8,7,-54,-53.60299029164944
-7,7,-45,-44.60299029164944
-6,7,-36,-35.60299029164944
-5,7,-27,-26.60299029164944
-4,7,-18,-17.60299029164944
-3,7,-9,-8.60299029164944
-2,7,0,0.3970097083505628
-1,7,9,9.397009708350565
0,7,18,18.397009708350566
1,7,27,27.397009708350566
