d,w,p,pg
934,2,828,551.2426917497345
935,3,764,529.9668733504743
936,4,677,616.0109122934189
937,5,641,512.8867294630195
938,6,552,457.29486732842986
939,7,241,424.1533787436462
940,1,1,331.3680583094212
941,2,681,559.9114510243872
942,3,667,533.8196552503198
943,4,643,618.1781021120821
944,5,887,514.273730946964
945,6,577,458.2580628033912
946,7,241,424.8610325619852
947,1,1,366.04309540803223
948,2,675,568.5802102990399
949,3,774,537.6724371501655
950,4,662,620.3452919307454
951,5,741,515.6607324309084
952,6,663,459.2212582783527
953,7,241,425.5686863803242
955,2,744,577.2489695736926
956,3,726,541.5252190500111
957,4,673,622.5124817494084
958,5,682,517.0477339148528
959,6,635,460.1844537533141
960,7,233,426.2763401986632
961,1,3,435.3931696052534
962,2,738,585.9177288483452
963,3,726,545.3780009498568
964,4,737,624.6796715680716
965,5,691,518.4347353987972
966,6,605,461.1476492282755
967,7,221,426.9839940170022
968,1,2,470.06820670386344
969,2,725,594.5864881229979
970,3,655,549.2307828497025
971,4,699,626.8468613867348
972,5,686,519.8217368827417
973,6,837,462.1108447032369
974,7,306,427.6916478353412
975,1,1,504.74324380247447
976,2,809,603.2552473976507
977,3,684,553.083564749548
978,4,722,629.0140512053979
979,5,687,521.208738366686
980,6,7,463.0740401781983
981,7,211,428.3993016536802
982,1,2,539.4182809010846
983,2,751,611.9240066723032
984,3,778,556.9363466493936
985,4,812,631.1812410240611
986,5,720,522.5957398506305
987,6,683,464.0372356531597
988,7,265,429.1069554720192
989,1,16,574.0933179996957
990,2,802,620.592765946956
991,3,866,560.7891285492392
992,4,750,633.3484308427243
993,5,720,523.9827413345749
994,6,710,465.00043112812114
995,7,286,429.8146092903582
996,1,1,608.7683550983068
997,2,790,629.2615252216085
998,3,801,564.6419104490849
999,4,774,635.5156206613874
1000,5,733,525.3697428185193
1001,6,619,465.9636266030825
1002,7,304,430.5222631086972
1003,1,2,333.5620095272666
1004,2,782,328.048901826611
1005,3,724,568.4946923489306
1006,4,734,327.80142781040036
1007,5,752,526.7567443024637
1008,6,673,466.926822078044
1009,7,296,431.2299169270362
1011,2,726,336.7176611012635
1012,3,867,572.3474742487763
1013,4,722,329.96861762906354
1014,5,736,528.1437457864082
1015,6,6,467.89001755300535
1016,7,269,431.9375707453752
1017,1,3,402.91208372448773
1018,2,733,345.38642037591626
1019,3,832,576.2002561486217
1020,4,954,332.1358074477267
1021,5,833,529.5307472703525
1022,6,869,468.8532130279667
1023,7,420,432.6452245637141
1025,2,973,354.055179650569
1026,3,1029,580.0530380484674
1027,4,957,334.30299726638987
1028,5,903,530.917748754297
1029,6,851,469.81640850292814
1030,7,402,433.3528783820532
1031,1,2,472.2621579217098
1032,2,992,362.72393892522155
1033,3,907,583.9058199483131
1034,4,896,336.47018708505306
1035,5,892,532.3047502382415
1036,6,1,470.77960397788956
1037,7,352,434.0605322003921
1038,1,3,506.9371950203199
1039,2,1040,371.3926981998743
1040,3,902,587.7586018481586
1041,4,1052,338.6373769037162
1042,5,921,533.6917517221859
1043,6,949,471.74279945285093
1044,7,369,434.7681860187311
1045,1,1,541.6122321189309
1046,2,1027,380.06145747452683
1047,3,533,591.6113837480043
1048,4,1193,340.8045667223794
1049,5,24,535.0787532061303
1050,6,1010,472.7059949278124
1051,7,407,435.4758398370701
1052,1,1,576.287269217541
1053,2,992,388.7302167491796
1054,3,568,595.46416564785
1055,4,973,342.9717565410425
1056,5,1046,536.4657546900747
1057,6,910,473.6691904027738
1058,7,391,436.1834936554091
1059,1,1,610.9623063161521
1060,2,1063,397.39897602383235
1061,3,1071,599.3169475476955
1062,4,1073,345.1389463597057
1063,5,1013,537.8527561740192
1064,6,956,474.63238587773515
1065,7,396,436.8911474737481
1067,2,1098,406.0677352984849
1068,3,1167,603.1697294475412
