d,w,p,pg
934,2,828,449.7778011188342
935,3,764,431.2385064774176
936,4,677,424.50752989113596
937,5,641,422.4998805269083
938,6,552,422.8538947737076
939,7,241,424.557431083951
940,1,1,519.3399761060139
941,2,681,453.0352747394272
942,3,667,434.3186019298004
943,4,643,427.4989362594137
944,5,887,425.438073444723
945,6,577,425.75661205788026
946,7,241,427.43480862980783
947,1,1,523.1295842312375
948,2,675,456.29274836002025
949,3,774,437.3986973821833
950,4,662,430.49034262769146
951,5,741,428.3762663625377
952,6,663,428.65932934205296
953,7,241,430.31218617566475
955,2,744,459.55022198061323
956,3,726,440.47879283456615
957,4,673,433.4817489959692
958,5,682,431.31445928035237
959,6,635,431.5620466262256
960,7,233,433.18956372152167
961,1,3,530.7088004816846
962,2,738,462.80769560120626
963,3,726,443.558888286949
964,4,737,436.473155364247
965,5,691,434.2526521981671
966,6,605,434.46476391039823
967,7,221,436.0669412673786
968,1,2,534.4984086069081
969,2,725,466.06516922179924
970,3,655,446.6389837393318
971,4,699,439.46456173252477
972,5,686,437.19084511598174
973,6,837,437.36748119457087
974,7,306,438.9443188132355
975,1,1,538.2880167321317
976,2,809,469.32264284239227
977,3,684,449.7190791917146
978,4,722,442.45596810080247
979,5,687,440.12903803379646
980,6,7,440.2701984787435
981,7,211,441.8216963590924
982,1,2,542.0776248573552
983,2,751,472.5801164629853
984,3,778,452.7991746440975
985,4,812,445.4473744690802
986,5,720,443.0672309516112
987,6,683,443.1729157629162
988,7,265,444.69907390494933
989,1,16,545.8672329825788
990,2,802,475.83759008357833
991,3,866,455.87927009648035
992,4,750,448.43878083735797
993,5,720,446.00542386942584
994,6,710,446.0756330470889
995,7,286,447.57645145080625
996,1,1,549.6568411078024
997,2,790,479.0950637041713
998,3,801,458.95936554886316
999,4,774,451.4301872056357
1000,5,733,448.94361678724056
1001,6,619,448.97835033126154
1002,7,304,450.4538289966631
1003,1,2,553.4464492330259
1004,2,782,482.35253732476434
1005,3,724,462.03946100124597
1006,4,734,454.42159357391347
1007,5,752,451.8818097050553
1008,6,673,451.8810676154342
1009,7,296,453.33120654252
1011,2,726,485.6100109453573
1012,3,867,465.11955645362883
1013,4,722,457.4129999421912
1014,5,736,454.82000262286994
1015,6,6,454.78378489960687
1016,7,269,456.208584088377
1017,1,3,561.0256654834731
1018,2,733,488.86748456595035
1019,3,832,468.19965190601164
1020,4,954,460.4044063104689
1021,5,833,457.7581955406846
1022,6,869,457.6865021837795
1023,7,420,459.0859616342339
1025,2,973,492.1249581865434
1026,3,1029,471.2797473583945
1027,4,957,463.39581267874667
1028,5,903,460.6963884584993
1029,6,851,460.58921946795215
1030,7,402,461.9633391800908
1031,1,2,568.6048817339201
1032,2,992,495.3824318071364
1033,3,907,474.3598428107773
1034,4,896,466.3872190470244
1035,5,892,463.634581376314
1036,6,1,463.4919367521248
1037,7,352,464.84071672594774
1038,1,3,572.3944898591437
1039,2,1040,498.6399054277294
1040,3,902,477.4399382631601
1041,4,1052,469.37862541530217
1042,5,921,466.5727742941287
1043,6,949,466.3946540362974
1044,7,369,467.71809427180466
1045,1,1,576.1840979843673
1046,2,1027,501.8973790483224
1047,3,533,480.520033715543
1048,4,1193,472.3700317835799
1049,5,24,469.51096721194335
1050,6,1010,469.2973713204701
1051,7,407,470.5954718176616
1052,1,1,579.9737061095909
1053,2,992,505.1548526689155
1054,3,568,483.60012916792584
1055,4,973,475.36143815185767
1056,5,1046,472.44916012975807
1057,6,910,472.20008860464276
1058,7,391,473.4728493635185
1059,1,1,583.7633142348144
1060,2,1063,508.4123262895085
1061,3,1071,486.6802246203087
1062,4,1073,478.35284452013536
1063,5,1013,475.38735304757273
1064,6,956,475.1028058888154
1065,7,396,476.3502269093754
1067,2,1098,511.6697999101015
1068,3,1167,489.7603200726915
