    1                 -3.1416              -1.1346              -4.0230 
    2                 -3.0416              -1.5119              -3.8950 
    3                 -2.9416              -1.8741              -3.7669 
    4                 -2.8416              -2.2175              -3.6388 
    5                 -2.7416              -2.5388              -3.5108 
    6                 -2.6416              -2.8347              -3.3827 
    7                 -2.5416              -3.1023              -3.2547 
    8                 -2.4416              -3.3389              -3.1266 
    9                 -2.3416              -3.5421              -2.9986 
   10                 -2.2416              -3.7099              -2.8705 
   11                 -2.1416              -3.8407              -2.7424 
   12                 -2.0416              -3.9331              -2.6144 
   13                 -1.9416              -3.9862              -2.4863 
   14                 -1.8416              -3.9994              -2.3583 
   15                 -1.7416              -3.9727              -2.2302 
   16                 -1.6416              -3.9064              -2.1022 
   17                 -1.5416              -3.8009              -1.9741 
   18                 -1.4416              -3.6575              -1.8461 
   19                 -1.3416              -3.4776              -1.7180 
   20                 -1.2416              -3.2629              -1.5899 
   21                 -1.1416              -3.0156              -1.4619 
   22                 -1.0416              -2.7382              -1.3338 
   23                 -0.9416              -2.4334              -1.2058 
   24                 -0.8416              -2.1043              -1.0777 
   25                 -0.7416              -1.7542              -0.9497 
   26                 -0.6416              -1.3865              -0.8216 
   27                 -0.5416              -1.0050              -0.6935 
   28                 -0.4416              -0.6135              -0.5655 
   29                 -0.3416              -0.2158              -0.4374 
   30                 -0.2416               0.1840              -0.3094 
   31                 -0.1416               0.5820              -0.1813 
   32                 -0.0416               0.9742              -0.0533 
   33                  0.0584               1.3566               0.0748 
   34                  0.1584               1.7255               0.2029 
   35                  0.2584               2.0772               0.3309 
   36                  0.3584               2.4080               0.4590 
   37                  0.4584               2.7149               0.5870 
   38                  0.5584               2.9946               0.7151 
   39                  0.6584               3.2444               0.8431 
   40                  0.7584               3.4617               0.9712 
   41                  0.8584               3.6445               1.0992 
   42                  0.9584               3.7909               1.2273 
   43                  1.0584               3.8994               1.3554 
   44                  1.1584               3.9689               1.4834 
   45                  1.2584               3.9988               1.6115 
   46                  1.3584               3.9887               1.7395 
   47                  1.4584               3.9388               1.8676 
   48                  1.5584               3.8495               1.9956 
   49                  1.6584               3.7217               2.1237 
   50                  1.7584               3.5568               2.2518 
   51                  1.8584               3.3563               2.3798 
   52                  1.9584               3.1223               2.5079 
   53                  2.0584               2.8571               2.6359 
   54                  2.1584               2.5633               2.7640 
   55                  2.2584               2.2439               2.8920 
   56                  2.3584               1.9021               3.0201 
   57                  2.4584               1.5414               3.1481 
   58                  2.5584               1.1652               3.2762 
   59                  2.6584               0.7773               3.4043 
   60                  2.7584               0.3817               3.5323 
   61                  2.8584              -0.0177               3.6604 
   62                  2.9584              -0.4169               3.7884 
   63                  3.0584              -0.8120               3.9165 
