128,    965,    5,    691,     661.37,    0.96 
129,    966,    6,    605,     631.57,    0.96 
130,    967,    7,    221,     373.83,    0.59 
131,    969,    2,    725,     747.41,    0.97 
132,    970,    3,    655,     715.99,    0.91 
133,    971,    4,    699,     718.74,    0.97 
134,    972,    5,    686,     668.95,    0.98 
135,    973,    6,    837,     646.63,    0.77 
136,    974,    7,    306,     373.47,    0.82 
137,    976,    2,    809,     753.47,    0.93 
138,    977,    3,    684,     727.26,    0.94 
139,    978,    4,    722,     731.89,    0.99 
140,    979,    5,    687,     683.47,    0.99 
141,    981,    7,    211,     373.67,    0.56 
142,    983,    2,    751,     760.11,    0.99 
143,    984,    3,    778,     735.07,    0.94 
144,    985,    4,    812,     743.78,    0.92 
145,    986,    5,    720,     700.2,    0.97 
146,    987,    6,    683,     696.76,    0.98 
147,    988,    7,    265,     374,    0.71 
148,    990,    2,    802,     763.42,    0.95 
149,    991,    3,    866,     739.03,    0.85 
150,    992,    4,    750,     746.01,    0.99 
151,    993,    5,    720,     706.6,    0.98 
152,    994,    6,    710,     725.82,    0.98 
153,    995,    7,    286,     375.09,    0.76 
154,    997,    2,    790,     772.66,    0.98 
155,    998,    3,    801,     754.58,    0.94 
156,    999,    4,    774,     767.17,    0.99 
157,    1000,    5,    733,     712.52,    0.97 
158,    1001,    6,    619,     749.75,    0.83 
159,    1002,    7,    304,     374.88,    0.81 
160,    1004,    2,    782,     778.6,    1 
161,    1005,    3,    724,     769.72,    0.94 
162,    1006,    4,    734,     786.18,    0.93 
163,    1007,    5,    752,     731.14,    0.97 
164,    1008,    6,    673,     798.81,    0.84 
165,    1009,    7,    296,     375.19,    0.79 
166,    1011,    2,    726,     785.21,    0.92 
167,    1012,    3,    867,     779.58,    0.9 
168,    1013,    4,    722,     804.12,    0.9 
169,    1014,    5,    736,     750.99,    0.98 
170,    1016,    7,    269,     375.68,    0.72 
171,    1018,    2,    733,     792.01,    0.93 
172,    1019,    3,    832,     783.59,    0.94 
173,    1020,    4,    954,     822.31,    0.86 
174,    1021,    5,    833,     771.34,    0.93 
175,    1022,    6,    869,     954.98,    0.91 
176,    1023,    7,    420,     376.34,    0.9 
177,    1025,    2,    973,     798.49,    0.82 
178,    1026,    3,    1029,     795.01,    0.77 
179,    1027,    4,    957,     861.29,    0.9 
180,    1028,    5,    903,     778.82,    0.86 
181,    1029,    6,    851,     894.6,    0.95 
182,    1030,    7,    402,     377.38,    0.94 
183,    1032,    2,    992,     804.35,    0.81 
184,    1033,    3,    907,     816.09,    0.9 
185,    1034,    4,    896,     880.02,    0.98 
186,    1035,    5,    892,     798.85,    0.9 
187,    1037,    7,    352,     377.38,    0.93 
188,    1039,    2,    1040,     810.82,    0.78 
189,    1040,    3,    902,     831.36,    0.92 
190,    1041,    4,    1052,     936.48,    0.89 
191,    1042,    5,    921,     862.35,    0.94 
192,    1043,    6,    949,     907.43,    0.96 
193,    1044,    7,    369,     377.99,    0.98 
194,    1046,    2,    1027,     818.04,    0.8 
195,    1047,    3,    533,     837.31,    0.64 
196,    1048,    4,    1193,     1051.66,    0.88 
197,    1050,    6,    1010,     970.27,    0.96 
198,    1051,    7,    407,     378.68,    0.93 
199,    1053,    2,    992,     824.57,    0.83 
200,    1054,    3,    568,     832.54,    0.68 
201,    1055,    4,    973,     947.27,    0.97 
202,    1056,    5,    1046,     1042.62,    1 
203,    1057,    6,    910,     928.09,    0.98 
204,    1058,    7,    391,     379.79,    0.97 
205,    1060,    2,    1063,     830.81,    0.78 
206,    1061,    3,    1071,     869.41,    0.81 
207,    1062,    4,    1073,     919.7,    0.86 
208,    1063,    5,    1013,     1007.93,    0.99 
209,    1064,    6,    956,     880.25,    0.92 
210,    1065,    7,    396,     380.09,    0.96 
211,    1067,    2,    1098,     837.05,    0.76 
212,    1068,    3,    1167,     892.73,    0.76 
