d,w,p,pg
934,2,828,378.8946980342344
935,3,764,383.9060152385854
936,4,677,388.9602482148629
937,5,641,394.0268937528667
938,6,552,399.09842508644385
939,7,241,404.1722632269766
940,1,1,376.89922670965586
941,2,681,381.6200371501969
942,3,667,386.63135435454785
943,4,643,391.68558733082534
944,5,887,396.7522328688292
945,6,577,401.8237642024063
946,7,241,406.8976023429391
947,1,1,379.62456582561833
948,2,675,384.34537626615935
949,3,774,389.3566934705103
950,4,662,394.4109264467878
951,5,741,399.47757198479167
952,6,663,404.5491033183688
953,7,241,409.62294145890155
955,2,744,387.0707153821218
956,3,726,392.08203258647285
957,4,673,397.1362655627503
958,5,682,402.20291110075414
959,6,635,407.27444243433126
960,7,233,412.348280574864
961,1,3,385.0752440575433
962,2,738,389.7960544980843
963,3,726,394.8073717024353
964,4,737,399.86160467871275
965,5,691,404.9282502167166
966,6,605,409.99978155029373
967,7,221,415.0736196908265
968,1,2,387.80058317350574
969,2,725,392.52139361404676
970,3,655,397.5327108183978
971,4,699,402.5869437946752
972,5,686,407.6535893326791
973,6,837,412.7251206662562
974,7,306,417.79895880678896
975,1,1,390.5259222894682
976,2,809,395.2467327300092
977,3,684,400.25804993436026
978,4,722,405.3122829106377
979,5,687,410.37892844864155
980,6,7,415.4504597822187
981,7,211,420.52429792275143
982,1,2,393.2512614054307
983,2,751,397.9720718459717
984,3,778,402.9833890503227
985,4,812,408.03762202660016
986,5,720,413.10426756460413
987,6,683,418.17579889818114
988,7,265,423.2496370387139
989,1,16,395.97660052139315
990,2,802,400.69741096193417
991,3,866,405.7087281662852
992,4,750,410.76296114256263
993,5,720,415.8296066805666
994,6,710,420.90113801414367
995,7,286,425.97497615467637
996,1,1,398.7019396373556
997,2,790,403.42275007789664
998,3,801,408.43406728224767
999,4,774,413.4883002585251
1000,5,733,418.55494579652907
1001,6,619,423.62647713010614
1002,7,304,428.70031527063884
1003,1,2,401.4272787533181
1004,2,782,406.1480891938591
1005,3,724,411.15940639821014
1006,4,734,416.21363937448757
1007,5,752,421.28028491249154
1008,6,673,426.3518162460686
1009,7,296,431.4256543866013
1011,2,726,408.8734283098216
1012,3,867,413.8847455141726
1013,4,722,418.93897849045004
1014,5,736,424.005624028454
1015,6,6,429.0771553620311
1016,7,269,434.1509935025638
1017,1,3,406.87795698524303
1018,2,733,411.59876742578405
1019,3,832,416.6100846301351
1020,4,954,421.6643176064125
1021,5,833,426.7309631444165
1022,6,869,431.80249447799355
1023,7,420,436.87633261852625
1025,2,973,414.3241065417465
1026,3,1029,419.33542374609755
1027,4,957,424.389656722375
1028,5,903,429.45630226037895
1029,6,851,434.527833593956
1030,7,402,439.6016717344887
1031,1,2,412.328635217168
1032,2,992,417.049445657709
1033,3,907,422.06076286206
1034,4,896,427.11499583833745
1035,5,892,432.1816413763414
1036,6,1,437.2531727099185
1037,7,352,442.3270108504512
1038,1,3,415.0539743331305
1039,2,1040,419.77478477367146
1040,3,902,424.7861019780225
1041,4,1052,429.8403349542999
1042,5,921,434.9069804923039
1043,6,949,439.97851182588096
1044,7,369,445.05234996641366
1045,1,1,417.77931344909297
1046,2,1027,422.5001238896339
1047,3,533,427.51144109398496
1048,4,1193,432.5656740702624
1049,5,24,437.63231960826636
1050,6,1010,442.7038509418434
1051,7,407,447.7776890823761
1052,1,1,420.50465256505544
1053,2,992,425.22546300559645
1054,3,568,430.2367802099474
1055,4,973,435.29101318622486
1056,5,1046,440.3576587242288
1057,6,910,445.4291900578059
1058,7,391,450.5030281983386
1059,1,1,423.2299916810179
1060,2,1063,427.9508021215589
1061,3,1071,432.96211932590995
1062,4,1073,438.01635230218733
1063,5,1013,443.0829978401913
1064,6,956,448.15452917376837
1065,7,396,453.22836731430107
1067,2,1098,430.6761412375214
1068,3,1167,435.6874584418724
