d,w,p,pg
732,3,169,389.0692685542165
733,4,224,449.5077897050059
734,5,221,428.0327880930144
735,6,229,318.6442637182419
736,7,84,39.544073939225186
737,1,2,53.451657964294725
738,2,315,259.71722464064607
739,3,288,396.0692685542165
740,4,263,456.5077897050059
741,5,262,435.0327880930144
742,6,265,325.6442637182419
743,7,108,47.248718234628754
744,1,2,60.451657964294725
745,2,322,266.71722464064607
746,3,324,403.0692685542165
747,4,327,463.5077897050059
748,5,316,442.0327880930144
749,6,281,332.6442637182419
750,7,112,54.9403819942133
751,1,1,67.45165796429472
752,2,312,273.71722464064607
753,3,329,410.0692685542165
754,4,317,470.5077897050059
755,5,276,449.0327880930144
756,6,294,339.6442637182419
757,7,104,62.61942062394311
759,2,304,280.71722464064607
760,3,337,417.0692685542165
761,4,332,477.5077897050059
762,5,316,456.0327880930144
763,6,298,346.6442637182419
764,7,120,70.28617667247978
765,1,2,81.45165796429472
766,2,469,287.71722464064607
767,3,378,424.0692685542165
768,4,377,484.5077897050059
769,5,335,463.0327880930144
770,6,337,353.6442637182419
771,7,85,77.94098040738433
772,1,2,88.45165796429472
773,2,73,294.71722464064607
774,3,1,431.0692685542165
775,4,332,491.5077897050059
776,5,353,470.0327880930144
777,6,334,360.6442637182419
778,7,128,85.58415036060754
779,1,11,95.45165796429472
780,2,387,301.71722464064607
781,3,370,438.0692685542165
782,4,377,498.5077897050059
783,5,351,477.0327880930144
784,6,351,367.6442637182419
785,7,131,93.21599384516148
786,1,3,102.45165796429472
787,2,417,308.71722464064607
788,3,408,445.0692685542165
789,4,402,505.5077897050059
790,5,401,484.0327880930144
791,6,359,374.6442637182419
792,7,159,100.83680744473277
793,1,6,109.45165796429472
794,2,453,315.71722464064607
795,3,445,452.0692685542165
796,4,399,512.507789705006
797,5,457,491.0327880930144
798,6,399,381.6442637182419
799,7,163,108.4468774778768
800,1,6,116.45165796429472
801,2,489,322.71722464064607
802,3,501,459.0692685542165
803,4,465,519.507789705006
804,5,464,498.0327880930144
805,6,470,388.6442637182419
