d,w,p,pg
934,2,828,558.3482887004632
935,3,764,548.1160685676027
936,4,677,565.241496137502
937,5,641,561.8632940543213
938,6,552,556.0715232402134
939,7,241,566.5514536650638
940,1,1,556.4362199738197
941,2,681,559.6278662744891
942,3,667,556.8087048915166
943,4,643,557.4989364035878
944,5,887,566.4819927970716
945,6,577,555.2443727864608
946,7,241,563.2444876371941
947,1,1,560.1098067435004
948,2,675,566.6043382293514
949,3,774,568.25038928197
950,4,662,562.2445381398195
951,5,741,563.5267403407805
952,6,663,571.0220308761014
953,7,241,558.538667719859
955,2,744,579.2417435343506
956,3,726,569.1945487120203
957,4,673,576.048572075016
958,5,682,574.2950481378458
959,6,635,581.9796040517791
960,7,233,573.2820979437498
961,1,3,575.7720015011652
962,2,738,575.6128578555206
963,3,726,578.375911849786
964,4,737,580.2747189296321
965,5,691,577.4623584177159
966,6,605,566.0791169615719
967,7,221,586.016586060769
968,1,2,565.9895805354779
969,2,725,577.5620947618073
970,3,655,574.6371932330029
971,4,699,573.7915422279399
972,5,686,572.6640004260802
973,6,837,589.2831242958255
974,7,306,574.8763721480536
975,1,1,580.8678009692798
976,2,809,585.1837566297687
977,3,684,578.4053090135657
978,4,722,611.6938616985658
979,5,687,582.0967683330633
980,6,7,584.770492907383
981,7,211,582.9739892896084
982,1,2,576.6272383863368
983,2,751,576.4832013279578
984,3,778,591.9438389502798
985,4,812,594.8373208495904
986,5,720,584.2720689165616
987,6,683,597.6030304166271
988,7,265,589.0149766857357
989,1,16,597.1981901486515
990,2,802,595.4763629081465
991,3,866,590.432723745476
992,4,750,600.3211006235641
993,5,720,599.2948938314197
994,6,710,583.522297148548
995,7,286,593.6374221752533
996,1,1,598.6434148987021
997,2,790,598.0317022476238
998,3,801,598.2428157615076
999,4,774,595.1158816654175
1000,5,733,585.1680375616837
1001,6,619,586.5662626854476
1002,7,304,594.821187617005
1003,1,2,602.8998998875123
1004,2,782,606.2722758555375
1005,3,724,592.3792168143752
1006,4,734,601.24309847986
1007,5,752,607.1816652603197
1008,6,673,606.2412794335257
1009,7,296,594.3337440742018
1011,2,726,598.2019259929533
1012,3,867,595.461768473495
1013,4,722,598.5593213311536
1014,5,736,599.443570511701
1015,6,6,598.843157601397
1016,7,269,613.5423653723611
1017,1,3,597.9249182068578
1018,2,733,595.8602673909288
1019,3,832,608.4571003819775
1020,4,954,603.5128248034007
1021,5,833,605.5346298683178
1022,6,869,608.5703680748986
1023,7,420,610.8538506830097
1025,2,973,620.9984851521317
1026,3,1029,604.0990825572052
1027,4,957,621.4871649417648
1028,5,903,603.8740560827703
1029,6,851,615.0238279256691
1030,7,402,623.6301864123822
1031,1,2,604.2533102787825
1032,2,992,607.9247621915057
1033,3,907,610.091317106219
1034,4,896,606.87402086924
1035,5,892,616.5332161736657
1036,6,1,613.1070996701549
1037,7,352,614.4535083164727
1038,1,3,622.6229680849002
1039,2,1040,622.44352527521
1040,3,902,624.8683601166565
1041,4,1052,625.6673296836753
1042,5,921,621.2229003969891
1043,6,949,629.5291522449453
1044,7,369,624.9353902208932
1045,1,1,621.8612083388375
1046,2,1027,620.7826032100677
1047,3,533,625.9889309935254
1048,4,1193,633.5843784867739
1049,5,24,618.0073515077182
1050,6,1010,619.2519938026307
1051,7,407,633.2886134580474
1052,1,1,623.9502701672926
1053,2,992,624.5403301457372
1054,3,568,635.5076791541069
1055,4,973,632.5838952574265
1056,5,1046,632.076384275724
1057,6,910,626.163012290587
1058,7,391,639.4932412056426
1059,1,1,628.8413268056698
1060,2,1063,634.3556286047715
1061,3,1071,631.5737760083458
1062,4,1073,639.5432775454213
1063,5,1013,632.1695857255787
1064,6,956,627.4559439158726
1065,7,396,643.3758662728308
1067,2,1098,627.2340344080197
1068,3,1167,636.7030536911423
