x,F,PG
-10,477,476.9490681742691
-9.5,429.25,429.199068174269
-9,384,383.949068174269
-8.5,341.25,341.199068174269
-8,301,300.949068174269
-7.5,263.25,263.199068174269
-7,228,227.94906817426897
-6.5,195.25,195.199068174269
-6,165,164.949068174269
-5.5,137.25,137.199068174269
-5,112,111.949068174269
-4.5,89.25,89.19906817426903
-4,69,68.949068174269
-3.5,51.25,51.19906817426901
-3,36,35.94906817426901
-2.5,23.25,23.19906817426901
-2,13,12.949068174269009
-1.5,5.25,5.199068174269009
-1,0,-0.05093182573099142
-0.5,-2.75,-2.8009318257309914
0,-3,-3.0509318257309914
0.5,-0.75,-0.8009318257309914
1,4,3.9490681742690086
1.5,11.25,11.199068174269009
2,21,20.94906817426901
2.5,33.25,33.19906817426901
3,48,47.94906817426901
3.5,65.25,65.199068174269
4,85,84.94906817426903
4.5,107.25,107.19906817426903
5,132,131.949068174269
5.5,159.25,159.199068174269
6,189,188.949068174269
6.5,221.25,221.19906817426897
7,256,255.94906817426897
7.5,293.25,293.199068174269
8,333,332.949068174269
8.5,375.25,375.199068174269
9,420,419.949068174269
9.5,467.25,467.199068174269
10,517,516.9490681742691
