d,w,p,pg
934,2,828,502.8608543081526
935,3,764,582.3304269354506
936,4,677,622.4676306785567
937,5,641,646.8718868679857
938,6,552,663.4096692805764
939,7,241,675.452323820688
940,1,1,268.19475399876967
941,2,681,506.74425024169284
942,3,667,586.7973055619431
943,4,643,627.2262506515252
944,5,887,651.80555164884
945,6,577,668.4600306000211
946,7,241,680.5860398105546
947,1,1,270.32770185345277
948,2,675,510.62764617523305
949,3,774,591.2641841884356
950,4,662,631.9848706244939
951,5,741,656.7392164296944
952,6,663,673.510391919466
953,7,241,685.719755800421
955,2,744,514.5110421087732
956,3,726,595.731062814928
957,4,673,636.7434905974624
958,5,682,661.6728812105487
959,6,635,678.5607532389107
960,7,233,690.8534717902875
961,1,3,274.593597562819
962,2,738,518.3944380423131
963,3,726,600.1979414414205
964,4,737,641.502110570431
965,5,691,666.6065459914029
966,6,605,683.6111145583556
967,7,221,695.987187780154
968,1,2,276.7265454175021
969,2,725,522.2778339758532
970,3,655,604.664820067913
971,4,699,646.2607305433996
972,5,686,671.5402107722572
973,6,837,688.6614758778003
974,7,306,701.1209037700207
975,1,1,278.8594932721852
976,2,809,526.1612299093933
977,3,684,609.1316986944054
978,4,722,651.0193505163681
979,5,687,676.4738755531115
980,6,7,693.711837197245
981,7,211,706.2546197598873
982,1,2,280.9924411268684
983,2,751,530.0446258429334
984,3,778,613.5985773208977
985,4,812,655.7779704893369
986,5,720,681.4075403339658
987,6,683,698.7621985166898
988,7,265,711.3883357497538
989,1,16,283.1253889815516
990,2,802,533.9280217764735
991,3,866,618.0654559473903
992,4,750,660.5365904623055
993,5,720,686.34120511482
994,6,710,703.8125598361346
995,7,286,716.5220517396202
996,1,1,285.25833683623483
997,2,790,537.8114177100138
998,3,801,622.5323345738826
999,4,774,665.295210435274
1000,5,733,691.2748698956746
1001,6,619,708.8629211555793
1002,7,304,721.6557677294868
1003,1,2,287.39128469091787
1004,2,782,541.6948136435537
1005,3,724,626.999213200375
1006,4,734,670.0538304082427
1007,5,752,696.2085346765288
1008,6,673,713.9132824750241
1009,7,296,726.7894837193534
1011,2,726,545.578209577094
1012,3,867,631.4660918268676
1013,4,722,674.8124503812112
1014,5,736,701.1421994573831
1015,6,6,718.9636437944689
1016,7,269,731.9231997092198
1017,1,3,291.657180400284
1018,2,733,549.4616055106342
1019,3,832,635.93297045336
1020,4,954,679.5710703541798
1021,5,833,706.0758642382374
1022,6,869,724.0140051139136
1023,7,420,737.0569156990863
1025,2,973,553.3450014441742
1026,3,1029,640.3998490798523
1027,4,957,684.3296903271485
1028,5,903,711.0095290190917
1029,6,851,729.0643664333584
1030,7,402,742.1906316889529
1031,1,2,295.9230761096503
1032,2,992,557.2283973777143
1033,3,907,644.8667277063449
1034,4,896,689.0883103001171
1035,5,892,715.9431937999459
1036,6,1,734.1147277528032
1037,7,352,747.3243476788193
1038,1,3,298.05602396433335
1039,2,1040,561.1117933112545
1040,3,902,649.3336063328373
1041,4,1052,693.8469302730856
1042,5,921,720.8768585808003
1043,6,949,739.165089072248
1044,7,369,752.458063668686
1045,1,1,300.1889718190166
1046,2,1027,564.9951892447946
1047,3,533,653.8004849593298
1048,4,1193,698.6055502460542
1049,5,24,725.8105233616545
1050,6,1010,744.2154503916927
1051,7,407,757.5917796585526
1052,1,1,302.32191967369965
1053,2,992,568.8785851783346
1054,3,568,658.2673635858223
1055,4,973,703.364170219023
1056,5,1046,730.7441881425088
1057,6,910,749.2658117111375
1058,7,391,762.725495648419
1059,1,1,304.4548675283828
1060,2,1063,572.7619811118748
1061,3,1071,662.7342422123146
1062,4,1073,708.1227901919915
1063,5,1013,735.6778529233632
1064,6,956,754.3161730305823
1065,7,396,767.8592116382855
1067,2,1098,576.6453770454148
1068,3,1167,667.201120838807
