d,w,p,pg
934,2,828,438.3460194514641
935,3,764,560.3618770991275
936,4,677,591.3840778058564
937,5,641,578.0126215716507
938,6,552,535.7808417298436
939,7,241,471.34588113757815
940,1,1,-7.663495137133975
941,2,681,441.8460194514641
942,3,667,565.0285437657942
943,4,643,596.6340778058564
944,5,887,583.6126215716506
945,6,577,541.6141750631768
946,7,241,477.34588113757815
947,1,1,-7.663495137133975
948,2,675,445.3460194514641
949,3,774,569.695210432461
950,4,662,601.8840778058564
951,5,741,589.2126215716505
952,6,663,547.4475083965103
953,7,241,483.34588113757815
955,2,744,448.8460194514641
956,3,726,574.3618770991275
957,4,673,607.1340778058564
958,5,682,594.8126215716507
959,6,635,553.2808417298436
960,7,233,489.34588113757815
961,1,3,-7.663495137133975
962,2,738,452.3460194514641
963,3,726,579.0285437657942
964,4,737,612.3840778058564
965,5,691,600.4126215716506
966,6,605,559.1141750631768
967,7,221,495.34588113757815
968,1,2,-7.663495137133975
969,2,725,455.8460194514641
970,3,655,583.695210432461
971,4,699,617.6340778058564
972,5,686,606.0126215716507
973,6,837,564.9475083965103
974,7,306,501.34588113757815
975,1,1,-7.663495137133975
976,2,809,459.3460194514641
977,3,684,588.3618770991275
978,4,722,622.8840778058564
979,5,687,611.6126215716506
980,6,7,570.7808417298436
981,7,211,507.34588113757815
982,1,2,-7.663495137133975
983,2,751,462.8460194514641
984,3,778,593.0285437657942
985,4,812,628.1340778058564
986,5,720,617.2126215716505
987,6,683,576.6141750631768
988,7,265,513.3458811375781
989,1,16,-7.663495137133975
990,2,802,466.3460194514641
991,3,866,597.695210432461
992,4,750,633.3840778058564
993,5,720,622.8126215716507
994,6,710,582.4475083965103
995,7,286,519.3458811375781
996,1,1,-7.663495137133975
997,2,790,469.8460194514641
998,3,801,602.3618770991275
999,4,774,638.6340778058564
1000,5,733,628.4126215716506
1001,6,619,588.2808417298436
1002,7,304,525.3458811375781
1003,1,2,-7.663495137133975
1004,2,782,473.3460194514641
1005,3,724,607.0285437657942
1006,4,734,643.8840778058564
1007,5,752,634.0126215716507
1008,6,673,594.1141750631768
1009,7,296,531.3458811375781
1011,2,726,476.8460194514641
1012,3,867,611.695210432461
1013,4,722,649.1340778058564
1014,5,736,639.6126215716506
1015,6,6,599.9475083965103
1016,7,269,537.3458811375781
1017,1,3,-7.663495137133975
1018,2,733,480.3460194514641
1019,3,832,616.3618770991275
1020,4,954,654.3840778058564
1021,5,833,645.2126215716505
1022,6,869,605.7808417298436
1023,7,420,543.3458811375781
1025,2,973,483.8460194514641
1026,3,1029,621.0285437657942
1027,4,957,659.6340778058564
1028,5,903,650.8126215716507
1029,6,851,611.6141750631768
1030,7,402,549.3458811375781
1031,1,2,-7.663495137133975
1032,2,992,487.3460194514641
1033,3,907,625.695210432461
1034,4,896,664.8840778058564
1035,5,892,656.4126215716506
1036,6,1,617.4475083965103
1037,7,352,555.3458811375781
1038,1,3,-7.663495137133975
1039,2,1040,490.8460194514641
1040,3,902,630.3618770991275
1041,4,1052,670.1340778058564
1042,5,921,662.0126215716507
1043,6,949,623.2808417298436
1044,7,369,561.3458811375781
1045,1,1,-7.663495137133975
1046,2,1027,494.3460194514641
1047,3,533,635.0285437657942
1048,4,1193,675.3840778058564
1049,5,24,667.6126215716506
1050,6,1010,629.1141750631768
1051,7,407,567.3458811375781
1052,1,1,-7.663495137133975
1053,2,992,497.8460194514641
1054,3,568,639.695210432461
1055,4,973,680.6340778058564
1056,5,1046,673.2126215716505
1057,6,910,634.9475083965103
1058,7,391,573.3458811375781
1059,1,1,-7.663495137133975
1060,2,1063,501.3460194514641
1061,3,1071,644.3618770991275
1062,4,1073,685.8840778058564
1063,5,1013,678.8126215716507
1064,6,956,640.7808417298436
1065,7,396,579.3458811375781
1067,2,1098,504.8460194514641
1068,3,1167,649.0285437657942
