d,w,p,pg
934,2,828,560.5931504706971
935,3,764,560.5931504706971
936,4,677,560.5931504706971
937,5,641,560.5931504706971
938,6,552,560.5931504706971
939,7,241,560.5931504706971
940,1,1,564.7626622031296
941,2,681,564.7626622031296
942,3,667,564.7626622031296
943,4,643,564.7626622031296
944,5,887,564.7626622031296
945,6,577,564.7626622031296
946,7,241,564.7626622031296
947,1,1,568.9321739355623
948,2,675,568.9321739355623
949,3,774,568.9321739355623
950,4,662,568.9321739355623
951,5,741,568.9321739355623
952,6,663,568.9321739355623
953,7,241,568.9321739355623
955,2,744,573.1016856679948
956,3,726,573.1016856679948
957,4,673,573.1016856679948
958,5,682,573.1016856679948
959,6,635,573.1016856679948
960,7,233,573.1016856679948
961,1,3,577.2711974004276
962,2,738,577.2711974004276
963,3,726,577.2711974004276
964,4,737,577.2711974004276
965,5,691,577.2711974004276
966,6,605,577.2711974004276
967,7,221,577.2711974004276
968,1,2,581.4407091328601
969,2,725,581.4407091328601
970,3,655,581.4407091328601
971,4,699,581.4407091328601
972,5,686,581.4407091328601
973,6,837,581.4407091328601
974,7,306,581.4407091328601
975,1,1,585.6102208652928
976,2,809,585.6102208652928
977,3,684,585.6102208652928
978,4,722,585.6102208652928
979,5,687,585.6102208652928
980,6,7,585.6102208652928
981,7,211,585.6102208652928
982,1,2,589.7797325977253
983,2,751,589.7797325977253
984,3,778,589.7797325977253
985,4,812,589.7797325977253
986,5,720,589.7797325977253
987,6,683,589.7797325977253
988,7,265,589.7797325977253
989,1,16,593.9492443301581
990,2,802,593.9492443301581
991,3,866,593.9492443301581
992,4,750,593.9492443301581
993,5,720,593.9492443301581
994,6,710,593.9492443301581
995,7,286,593.9492443301581
996,1,1,598.1187560625906
997,2,790,598.1187560625906
998,3,801,598.1187560625906
999,4,774,598.1187560625906
1000,5,733,598.1187560625906
1001,6,619,598.1187560625906
1002,7,304,598.1187560625906
1003,1,2,602.2882677950233
1004,2,782,602.2882677950233
1005,3,724,602.2882677950233
1006,4,734,602.2882677950233
1007,5,752,602.2882677950233
1008,6,673,602.2882677950233
1009,7,296,602.2882677950233
1011,2,726,606.4577795274558
1012,3,867,606.4577795274558
1013,4,722,606.4577795274558
1014,5,736,606.4577795274558
1015,6,6,606.4577795274558
1016,7,269,606.4577795274558
1017,1,3,610.6272912598886
1018,2,733,610.6272912598886
1019,3,832,610.6272912598886
1020,4,954,610.6272912598886
1021,5,833,610.6272912598886
1022,6,869,610.6272912598886
1023,7,420,610.6272912598886
1025,2,973,614.7968029923211
1026,3,1029,614.7968029923211
1027,4,957,614.7968029923211
1028,5,903,614.7968029923211
1029,6,851,614.7968029923211
1030,7,402,614.7968029923211
1031,1,2,618.9663147247538
1032,2,992,618.9663147247538
1033,3,907,618.9663147247538
1034,4,896,618.9663147247538
1035,5,892,618.9663147247538
1036,6,1,618.9663147247538
1037,7,352,618.9663147247538
1038,1,3,623.1358264571863
1039,2,1040,623.1358264571863
1040,3,902,623.1358264571863
1041,4,1052,623.1358264571863
1042,5,921,623.1358264571863
1043,6,949,623.1358264571863
1044,7,369,623.1358264571863
1045,1,1,627.3053381896191
1046,2,1027,627.3053381896191
1047,3,533,627.3053381896191
1048,4,1193,627.3053381896191
1049,5,24,627.3053381896191
1050,6,1010,627.3053381896191
1051,7,407,627.3053381896191
1052,1,1,631.4748499220516
1053,2,992,631.4748499220516
1054,3,568,631.4748499220516
1055,4,973,631.4748499220516
1056,5,1046,631.4748499220516
1057,6,910,631.4748499220516
1058,7,391,631.4748499220516
1059,1,1,635.6443616544841
1060,2,1063,635.6443616544841
1061,3,1071,635.6443616544841
1062,4,1073,635.6443616544841
1063,5,1013,635.6443616544841
1064,6,956,635.6443616544841
1065,7,396,635.6443616544841
1067,2,1098,639.8138733869168
1068,3,1167,639.8138733869168
