x,F,PG
-10,77,102.99001366328298
-9.9,75.21000000000001,102.24809041395187
-9.8,73.44000000000003,101.48763519816949
-9.700000000000001,71.69000000000001,100.70903722771813
-9.600000000000001,69.96000000000002,99.91268571438013
-9.500000000000002,68.25000000000003,99.09896986993782
-9.400000000000002,66.56000000000003,98.26827890617356
-9.300000000000002,64.89000000000004,97.42100203486967
-9.200000000000003,63.24000000000005,96.55752846780848
-9.100000000000003,61.610000000000056,95.67824741677234
-9.000000000000004,60.000000000000064,94.7835480935436
-8.900000000000004,58.41000000000005,93.87381970990457
-8.800000000000004,56.84000000000006,92.9494514776376
-8.700000000000005,55.29000000000008,92.01083260852499
-8.600000000000005,53.76000000000007,91.05835231434914
-8.500000000000005,52.25000000000007,90.09239980689235
-8.400000000000006,50.76000000000009,89.11336429793697
-8.300000000000006,49.29000000000009,88.12163499926531
-8.200000000000006,47.840000000000096,87.11760112265975
-8.100000000000007,46.410000000000096,86.10165187990258
-8.000000000000007,45.0000000000001,85.07417648277615
-7.9000000000000075,43.6100000000001,84.03556414306283
-7.800000000000008,42.24000000000011,82.98620407254491
-7.700000000000008,40.890000000000114,81.92648548300474
-7.6000000000000085,39.560000000000116,80.85679758622469
-7.500000000000009,38.250000000000114,79.77752959398705
-7.400000000000009,36.96000000000012,78.68907071807419
-7.30000000000001,35.690000000000126,77.59181017026842
-7.20000000000001,34.440000000000126,76.4861371623521
-7.10000000000001,33.21000000000012,75.37244090610754
-7.000000000000011,32.00000000000013,74.2511106133171
-6.900000000000011,30.81000000000013,73.1225354957631
-6.800000000000011,29.64000000000013,71.98710476522791
-6.700000000000012,28.490000000000133,70.84520763349381
-6.600000000000012,27.360000000000134,69.6972333123432
-6.500000000000012,26.25000000000014,68.54357101355836
-6.400000000000013,25.16000000000014,67.38460994892165
-6.300000000000013,24.090000000000142,66.22073933021542
-6.2000000000000135,23.04000000000014,65.05234836922199
-6.100000000000014,22.010000000000144,63.879826277723694
-6.000000000000014,21.000000000000142,62.70356226750289
-5.900000000000015,20.010000000000144,61.523945550341885
-5.800000000000015,19.04000000000014,60.34136533802303
-5.700000000000015,18.090000000000142,59.15621084232866
-5.600000000000016,17.160000000000142,57.96887127504111
-5.500000000000016,16.250000000000146,56.77973584794274
-5.400000000000016,15.360000000000145,55.58919377281584
-5.300000000000017,14.490000000000144,54.39763426144278
-5.200000000000017,13.640000000000143,53.205446525605886
-5.100000000000017,12.810000000000144,52.01301977708751
-5.000000000000018,12.000000000000142,50.82074322766996
-4.900000000000018,11.210000000000143,49.629006089135586
-4.8000000000000185,10.44000000000014,48.43819757326673
-4.700000000000019,9.69000000000014,47.24870689184572
-4.600000000000019,8.96000000000014,46.0609232566549
-4.5000000000000195,8.250000000000139,44.875235879476605
-4.40000000000002,7.560000000000134,43.69203397209318
-4.30000000000002,6.890000000000132,42.51170674628693
-4.200000000000021,6.240000000000133,41.334643413840226
-4.100000000000021,5.610000000000131,40.16123318653539
-4.000000000000021,5.000000000000128,38.991865276154755
-3.9000000000000212,4.410000000000124,37.82692889448066
-3.800000000000021,3.840000000000119,36.666813253295444
-3.700000000000021,3.2900000000001137,35.51190756438144
-3.600000000000021,2.760000000000108,34.36260103952098
-3.500000000000021,2.250000000000104,33.21928289049642
-3.400000000000021,1.7600000000000993,32.08234232909008
-3.3000000000000207,1.290000000000096,30.9521685670843
-3.2000000000000206,0.8400000000000905,29.829150816261418
-3.1000000000000205,0.4100000000000863,28.71367828840377
-3.0000000000000204,8.171241461241152e-14,27.60614019529369
-2.9000000000000203,-0.3899999999999233,26.50692574871351
-2.8000000000000203,-0.759999999999927,25.416424160445583
-2.70000000000002,-1.109999999999931,24.335024642272234
-2.60000000000002,-1.4399999999999356,23.2631164059758
-2.50000000000002,-1.7499999999999396,22.201088663338616
-2.40000000000002,-2.039999999999944,21.14933062614302
-2.30000000000002,-2.309999999999948,20.10823150617135
-2.2000000000000197,-2.5599999999999525,19.078180515205943
-2.1000000000000196,-2.7899999999999565,18.059566865029133
