d,w,p,pg
934,2,828,451.6730097257321
935,3,764,600.3428479219314
936,4,677,671.3460194514641
937,5,641,711.2825243143302
938,6,552,735.6856958438627
939,7,241,751.212676897205
940,1,1,-7.663495137133975
941,2,681,455.1730097257321
942,3,667,605.0095145885981
943,4,643,676.5960194514641
944,5,887,716.8825243143301
945,6,577,741.5190291771961
946,7,241,757.212676897205
947,1,1,-7.663495137133975
948,2,675,458.6730097257321
949,3,774,609.6761812552649
950,4,662,681.8460194514641
951,5,741,722.48252431433
952,6,663,747.3523625105295
953,7,241,763.212676897205
955,2,744,462.1730097257321
956,3,726,614.3428479219314
957,4,673,687.0960194514641
958,5,682,728.0825243143302
959,6,635,753.1856958438627
960,7,233,769.212676897205
961,1,3,-7.663495137133975
962,2,738,465.6730097257321
963,3,726,619.0095145885981
964,4,737,692.3460194514641
965,5,691,733.6825243143301
966,6,605,759.0190291771961
967,7,221,775.212676897205
968,1,2,-7.663495137133975
969,2,725,469.1730097257321
970,3,655,623.6761812552649
971,4,699,697.5960194514641
972,5,686,739.2825243143302
973,6,837,764.8523625105295
974,7,306,781.212676897205
975,1,1,-7.663495137133975
976,2,809,472.6730097257321
977,3,684,628.3428479219314
978,4,722,702.8460194514641
979,5,687,744.8825243143301
980,6,7,770.6856958438627
981,7,211,787.212676897205
982,1,2,-7.663495137133975
983,2,751,476.1730097257321
984,3,778,633.0095145885981
985,4,812,708.0960194514641
986,5,720,750.48252431433
987,6,683,776.5190291771961
988,7,265,793.212676897205
989,1,16,-7.663495137133975
990,2,802,479.6730097257321
991,3,866,637.6761812552649
992,4,750,713.3460194514641
993,5,720,756.0825243143302
994,6,710,782.3523625105295
995,7,286,799.212676897205
996,1,1,-7.663495137133975
997,2,790,483.1730097257321
998,3,801,642.3428479219314
999,4,774,718.5960194514641
1000,5,733,761.6825243143301
1001,6,619,788.1856958438627
1002,7,304,805.212676897205
1003,1,2,-7.663495137133975
1004,2,782,486.6730097257321
1005,3,724,647.0095145885981
1006,4,734,723.8460194514641
1007,5,752,767.2825243143302
1008,6,673,794.0190291771961
1009,7,296,811.212676897205
1011,2,726,490.1730097257321
1012,3,867,651.6761812552649
1013,4,722,729.0960194514641
1014,5,736,772.8825243143301
1015,6,6,799.8523625105295
1016,7,269,817.212676897205
1017,1,3,-7.663495137133975
1018,2,733,493.6730097257321
1019,3,832,656.3428479219314
1020,4,954,734.3460194514641
1021,5,833,778.48252431433
1022,6,869,805.6856958438627
1023,7,420,823.212676897205
1025,2,973,497.1730097257321
1026,3,1029,661.0095145885981
1027,4,957,739.5960194514641
1028,5,903,784.0825243143302
1029,6,851,811.5190291771961
1030,7,402,829.212676897205
1031,1,2,-7.663495137133975
1032,2,992,500.6730097257321
1033,3,907,665.6761812552649
1034,4,896,744.8460194514641
1035,5,892,789.6825243143301
1036,6,1,817.3523625105295
1037,7,352,835.212676897205
1038,1,3,-7.663495137133975
1039,2,1040,504.1730097257321
1040,3,902,670.3428479219314
1041,4,1052,750.0960194514641
1042,5,921,795.2825243143302
1043,6,949,823.1856958438627
1044,7,369,841.212676897205
1045,1,1,-7.663495137133975
1046,2,1027,507.6730097257321
1047,3,533,675.0095145885981
1048,4,1193,755.3460194514641
1049,5,24,800.8825243143301
1050,6,1010,829.0190291771961
1051,7,407,847.212676897205
1052,1,1,-7.663495137133975
1053,2,992,511.1730097257321
1054,3,568,679.6761812552649
1055,4,973,760.5960194514641
1056,5,1046,806.48252431433
1057,6,910,834.8523625105295
1058,7,391,853.212676897205
1059,1,1,-7.663495137133975
1060,2,1063,514.6730097257321
1061,3,1071,684.3428479219314
1062,4,1073,765.8460194514641
1063,5,1013,812.0825243143302
1064,6,956,840.6856958438627
1065,7,396,859.212676897205
1067,2,1098,518.1730097257321
1068,3,1167,689.0095145885981
