d,w,p,pg
934,2,828,501.5042165300109
935,3,764,575.9102598221235
936,4,677,621.110992900415
937,5,641,640.5706554723122
938,6,552,662.0530315024347
939,7,241,674.0956860425463
940,1,1,266.83811622062797
941,2,681,501.0053028387356
942,3,667,582.1419377130453
943,4,643,620.7781997492389
944,5,887,647.1232163410169
945,6,577,667.1033928218794
946,7,241,679.2294020324128
947,1,1,264.51632646271304
948,2,675,504.6429607181068
949,3,774,589.9075464102939
950,4,662,626.6653209089504
951,5,741,655.3825786515526
952,6,663,668.2216529456704
953,7,241,679.5731365579129
955,2,744,513.1544043306315
956,3,726,589.285820110101
957,4,673,635.3868528193207
958,5,682,660.316243432407
959,6,635,672.9002489210598
960,7,233,686.5043422075429
961,1,3,273.2369597846773
962,2,738,513.1684175470562
963,3,726,595.8428020784319
964,4,737,635.103595646476
965,5,691,661.6447454503802
966,6,605,682.2544767802138
967,7,221,694.6305500020123
968,1,2,271.0874474539307
969,2,725,520.9211961977115
970,3,655,603.3081822897713
971,4,699,641.8989167872792
972,5,686,665.8793930192489
973,6,837,687.3048380996586
974,7,306,699.764265991879
975,1,1,277.5028554940435
976,2,809,524.8045921312516
977,3,684,607.7750609162637
978,4,722,649.6627127382264
979,5,687,675.1172377749698
980,6,7,687.7763945454291
981,7,211,699.9744009623627
982,1,2,274.5448854139593
983,2,751,523.8707623804384
984,3,778,609.5436664438182
985,4,812,654.4213327111952
986,5,720,675.0205283582316
987,6,683,692.7783423598286
988,7,265,707.290471853361
989,1,16,278.2287472867463
990,2,802,532.5713839983318
991,3,866,616.7088181692486
992,4,750,655.0850726470519
993,5,720,682.2035035100527
994,6,710,702.4559220579929
995,7,286,710.2300262826857
996,1,1,283.90169905809313
997,2,790,536.454779931872
998,3,801,621.1756967957409
999,4,774,659.201073982211
1000,5,733,689.9182321175329
1001,6,619,702.5573933660681
1002,7,304,720.2991299513451
1003,1,2,281.64499944340713
1004,2,782,537.4556415396162
1005,3,724,620.8464861961759
1006,4,734,668.697192630101
1007,5,752,694.851896898387
1008,6,673,709.9438904210351
1009,7,296,720.4042651281376
1011,2,726,544.2215717989523
1012,3,867,630.1094540487259
1013,4,722,669.096996366537
1014,5,736,694.7537709657022
1015,6,6,712.6564357985976
1016,7,269,725.58664106728
1017,1,3,290.3005426221423
1018,2,733,543.1863395928999
1019,3,832,634.5763326752183
1020,4,954,674.4346698605395
1021,5,833,700.9596801882848
1022,6,869,722.6573673357719
1023,7,420,731.0161559285037
1025,2,973,548.6319078566175
1026,3,1029,634.8475790474712
1027,4,957,682.9730525490068
1028,5,903,709.65289124095
1029,6,851,722.9214072714154
1030,7,402,740.8339939108112
1031,1,2,294.5664383315086
1032,2,992,555.8717595995726
1033,3,907,638.5030459868801
1034,4,896,682.7168847329838
1035,5,892,714.5865560218042
1036,6,1,729.821983859804
1037,7,352,740.8909268100631
1038,1,3,291.98817686500604
1039,2,1040,555.1134591101967
1040,3,902,647.9769685546956
1041,4,1052,689.6682657388682
1042,5,921,715.0473605555186
1043,6,949,737.8084512941062
1044,7,369,746.6240363994499
1045,1,1,294.57157056985477
1046,2,1027,559.8081741736187
1047,3,533,648.8486718987668
1048,4,1193,697.2489124679125
1049,5,24,719.7158568665168
1050,6,1010,742.858812613551
1051,7,407,751.8022855743219
1052,1,1,300.96528189555795
1053,2,992,567.5219474001929
1054,3,568,652.2039103522666
1055,4,973,702.0075324408813
1056,5,1046,729.3875503643671
1057,6,910,743.3009638730693
1058,7,391,761.3688578702773
1059,1,1,298.730278995282
1060,2,1063,566.8572594433048
1061,3,1071,661.3776044341729
1062,4,1073,703.0375708205438
1063,5,1013,729.3280173179179
1064,6,956,749.700077298573
1065,7,396,766.5025738601438
1067,2,1098,570.98444049062
1068,3,1167,661.3524055947609
