d,w,p,pg
934,2,828,750.4927385664001
935,3,764,226.4955704272587
936,4,677,375.2555121947109
937,5,641,1093.4116937416723
938,6,552,250.18460484817427
939,7,241,445.03383829385075
940,1,1,324.37932278886234
941,2,681,750.4881335794526
942,3,667,226.485559031294
943,4,643,375.26867667965774
944,5,887,1093.419372219145
945,6,577,250.2011659686961
946,7,241,445.0664824146085
947,1,1,324.37814903280815
948,2,675,750.4886878703484
949,3,774,226.4949810364793
950,4,662,375.2583580042363
951,5,741,1093.4178429303975
952,6,663,250.1942433126969
953,7,241,445.06129093219647
955,2,744,750.4942879889988
956,3,726,226.50226581490838
957,4,673,375.2532336726332
958,5,682,1093.4073077158162
959,6,635,250.16435112345815
960,7,233,445.06822133792707
961,1,3,324.38390877169275
962,2,738,750.4908158741231
963,3,726,226.48646992204073
964,4,737,375.253190530056
965,5,691,1093.3879625592792
966,6,605,250.1956881956127
967,7,221,445.03823619266433
968,1,2,324.38376446931915
969,2,725,750.4923748585112
970,3,655,226.48977019478957
971,4,699,375.25811868467173
972,5,686,1093.3946572963887
973,6,837,250.16228708042956
974,7,306,445.0689787351739
975,1,1,324.38166195107544
976,2,809,750.4850497109601
977,3,684,226.49106690098276
978,4,722,375.267911390835
979,5,687,1093.3924216828232
980,6,7,250.18929065041894
981,7,211,445.06299272750454
982,1,2,324.3776430932687
983,2,751,750.4964475442977
984,3,778,226.49040279966246
985,4,812,375.2551032874077
986,5,720,1093.4156132934186
987,6,683,250.1934950820693
988,7,265,445.06879633114147
989,1,16,324.3785613331238
990,2,802,750.4853360147794
991,3,866,226.48781944174502
992,4,750,375.2473413926762
993,5,720,1093.39584135823
994,6,710,250.17538204731736
995,7,286,445.03873906786254
996,1,1,324.37754770946054
997,2,790,750.4927377245398
998,3,801,226.50361113909685
999,4,774,375.2445196301815
1000,5,733,1093.4013861745668
1001,6,619,250.1758061960165
1002,7,304,445.06771351869793
1003,1,2,324.38136032339406
1004,2,782,750.4914215947308
1005,3,724,226.4971682261763
1006,4,734,375.246534875891
1007,5,752,1093.398264938848
1008,6,673,250.1943813368447
1009,7,296,445.0610031782131
1011,2,726,750.4948977017128
1012,3,867,226.4889258271634
1013,4,722,375.25328685618905
1014,5,736,1093.3866571255244
1015,6,6,250.19090253527645
1016,7,269,445.0657675194506
1017,1,3,324.38319010199405
1018,2,733,750.4898298475073
1019,3,832,226.49875755154008
1020,4,954,375.2646780500697
1021,5,833,1093.3997334001729
1022,6,869,250.16582295451184
1023,7,420,445.0356667454315
1025,2,973,750.4895400182161
1026,3,1029,226.48689108517405
1027,4,957,375.2543709223582
1028,5,903,1093.4042180845136
1029,6,851,250.1981584271846
1030,7,402,445.0629935313083
1031,1,2,324.3775549372125
1032,2,992,750.4939309865881
1033,3,907,226.49290290407134
1034,4,896,375.2488711692758
1035,5,892,1093.4002855006688
1036,6,1,250.1696790022833
1037,7,352,445.05562129391353
1038,1,3,324.37852353445123
1039,2,1040,750.4899383548171
1040,3,902,226.4969960247274
1041,4,1052,375.2480818120833
1042,5,921,1093.388105286481
1043,6,949,250.1978895944532
1044,7,369,445.0594248641689
1045,1,1,324.3776501785148
1046,2,1027,750.4906134309078
1047,3,533,226.499208931061
1048,4,1193,375.2519084630768
1049,5,24,1093.399957929711
1050,6,1010,250.16615115275653
1051,7,407,445.02930496904463
1052,1,1,324.3813763972568
1053,2,992,750.495863126669
1054,3,568,226.49957908464776
1055,4,973,375.2602592396291
1056,5,1046,1093.4034630123385
1057,6,910,250.1903950327632
1058,7,391,445.0550930648356
1059,1,1,324.3832485576712
1060,2,1063,750.4928839707964
1061,3,1071,226.498142958445
1062,4,1073,375.24766688018104
1063,5,1013,1093.398785443839
1064,6,956,250.1935260237841
1065,7,396,445.04711463905727
1067,2,1098,750.4944673582795
1068,3,1167,226.49493606919032
