d,w,p,pg
934,2,828,557.4683267652186
935,3,764,558.4683267652186
936,4,677,559.4683267652186
937,5,641,560.4683267652186
938,6,552,561.4683267652186
939,7,241,555.4683267652186
940,1,1,559.6378384976513
941,2,681,561.6378384976513
942,3,667,562.6378384976513
943,4,643,563.6378384976513
944,5,887,564.6378384976513
945,6,577,565.6378384976513
946,7,241,559.6378384976513
947,1,1,563.8073502300839
948,2,675,565.8073502300839
949,3,774,566.8073502300839
950,4,662,567.8073502300839
951,5,741,568.8073502300839
952,6,663,569.8073502300839
953,7,241,563.8073502300839
955,2,744,569.9768619625165
956,3,726,570.9768619625165
957,4,673,571.9768619625165
958,5,682,572.9768619625165
959,6,635,573.9768619625165
960,7,233,567.9768619625165
961,1,3,572.1463736949491
962,2,738,574.1463736949491
963,3,726,575.1463736949491
964,4,737,576.1463736949491
965,5,691,577.1463736949491
966,6,605,578.1463736949491
967,7,221,572.1463736949491
968,1,2,576.3158854273818
969,2,725,578.3158854273818
970,3,655,579.3158854273818
971,4,699,580.3158854273818
972,5,686,581.3158854273818
973,6,837,582.3158854273818
974,7,306,576.3158854273818
975,1,1,580.4853971598144
976,2,809,582.4853971598144
977,3,684,583.4853971598144
978,4,722,584.4853971598144
979,5,687,585.4853971598144
980,6,7,586.4853971598144
981,7,211,580.4853971598144
982,1,2,584.654908892247
983,2,751,586.654908892247
984,3,778,587.654908892247
985,4,812,588.654908892247
986,5,720,589.654908892247
987,6,683,590.654908892247
988,7,265,584.654908892247
989,1,16,588.8244206246796
990,2,802,590.8244206246796
991,3,866,591.8244206246796
992,4,750,592.8244206246796
993,5,720,593.8244206246796
994,6,710,594.8244206246796
995,7,286,588.8244206246796
996,1,1,592.9939323571123
997,2,790,594.9939323571123
998,3,801,595.9939323571123
999,4,774,596.9939323571123
1000,5,733,597.9939323571123
1001,6,619,598.9939323571123
1002,7,304,592.9939323571123
1003,1,2,597.1634440895449
1004,2,782,599.1634440895449
1005,3,724,600.1634440895449
1006,4,734,601.1634440895449
1007,5,752,602.1634440895449
1008,6,673,603.1634440895449
1009,7,296,597.1634440895449
1011,2,726,603.3329558219775
1012,3,867,604.3329558219775
1013,4,722,605.3329558219775
1014,5,736,606.3329558219775
1015,6,6,607.3329558219775
1016,7,269,601.3329558219775
1017,1,3,605.5024675544101
1018,2,733,607.5024675544101
1019,3,832,608.5024675544101
1020,4,954,609.5024675544101
1021,5,833,610.5024675544101
1022,6,869,611.5024675544101
1023,7,420,605.5024675544101
1025,2,973,611.6719792868428
1026,3,1029,612.6719792868428
1027,4,957,613.6719792868428
1028,5,903,614.6719792868428
1029,6,851,615.6719792868428
1030,7,402,609.6719792868428
1031,1,2,613.8414910192754
1032,2,992,615.8414910192754
1033,3,907,616.8414910192754
1034,4,896,617.8414910192754
1035,5,892,618.8414910192754
1036,6,1,619.8414910192754
1037,7,352,613.8414910192754
1038,1,3,618.011002751708
1039,2,1040,620.011002751708
1040,3,902,621.011002751708
1041,4,1052,622.011002751708
1042,5,921,623.011002751708
1043,6,949,624.011002751708
1044,7,369,618.011002751708
1045,1,1,622.1805144841406
1046,2,1027,624.1805144841406
1047,3,533,625.1805144841406
1048,4,1193,626.1805144841406
1049,5,24,627.1805144841406
1050,6,1010,628.1805144841406
1051,7,407,622.1805144841406
1052,1,1,626.3500262165733
1053,2,992,628.3500262165733
1054,3,568,629.3500262165733
1055,4,973,630.3500262165733
1056,5,1046,631.3500262165733
1057,6,910,632.3500262165733
1058,7,391,626.3500262165733
1059,1,1,630.5195379490058
1060,2,1063,632.5195379490058
1061,3,1071,633.5195379490058
1062,4,1073,634.5195379490058
1063,5,1013,635.5195379490058
1064,6,956,636.5195379490058
1065,7,396,630.5195379490058
1067,2,1098,636.6890496814384
1068,3,1167,637.6890496814384
