x,F,PG
-10,77,-3460.4862745225228
-9.9,75.21000000000001,-3362.6422889632086
-9.8,73.44000000000003,-3266.6472379610896
-9.700000000000001,71.69000000000001,-3172.4837182127644
-9.600000000000001,69.96000000000002,-3080.1343243357082
-9.500000000000002,68.25000000000003,-2989.581648764472
-9.400000000000002,66.56000000000003,-2900.8082816406204
-9.300000000000002,64.89000000000004,-2813.796810695967
-9.200000000000003,63.24000000000005,-2728.529821128626
-9.100000000000003,61.610000000000056,-2644.9898954713485
-9.000000000000004,60.000000000000064,-2563.1596134516035
-8.900000000000004,58.41000000000005,-2483.021551842774
-8.800000000000004,56.84000000000006,-2404.5582843058146
-8.700000000000005,55.29000000000008,-2327.752381220655
-8.600000000000005,53.76000000000007,-2252.5864095065645
-8.500000000000005,52.25000000000007,-2179.0429324306288
-8.400000000000006,50.76000000000009,-2107.1045094034234
-8.300000000000006,49.29000000000009,-2036.7536957608613
-8.200000000000006,47.840000000000096,-1967.9730425311434
-8.100000000000007,46.410000000000096,-1900.7450961855827
-8.000000000000007,45.0000000000001,-1835.052398372028
-7.9000000000000075,43.6100000000001,-1770.877485629431
-7.800000000000008,42.24000000000011,-1708.2028890820102
-7.700000000000008,40.890000000000114,-1647.0111341112915
-7.6000000000000085,39.560000000000116,-1587.2847400041444
-7.500000000000009,38.250000000000114,-1529.0062195747676
-7.400000000000009,36.96000000000012,-1472.1580787583305
-7.30000000000001,35.690000000000126,-1416.7228161738224
-7.20000000000001,34.440000000000126,-1362.682922653323
-7.10000000000001,33.21000000000012,-1310.0208807347065
-7.000000000000011,32.00000000000013,-1307.7186922272736
-6.900000000000011,30.81000000000013,-1256.3583739846213
-6.800000000000011,29.64000000000013,-1206.3282412229653
-6.700000000000012,28.490000000000133,-1157.6109430784309
-6.600000000000012,27.360000000000134,-1110.1891286871426
-6.500000000000012,26.25000000000014,-1064.0454471852256
-6.400000000000013,25.16000000000014,-1019.162547708805
-6.300000000000013,24.090000000000142,-975.523079394006
-6.2000000000000135,23.04000000000014,-933.1096913769537
-6.100000000000014,22.010000000000144,-891.9050327937729
-6.000000000000014,21.000000000000142,-851.8917527805887
-5.900000000000015,20.010000000000144,-813.0525004735259
-5.800000000000015,19.04000000000014,-775.3699250087101
-5.700000000000015,18.090000000000142,-738.8266755222659
-5.600000000000016,17.160000000000142,-703.4054011503184
-5.500000000000016,16.250000000000146,-669.0887510289928
-5.400000000000016,15.360000000000145,-635.859374294414
-5.300000000000017,14.490000000000144,-603.6999200827071
-5.200000000000017,13.640000000000143,-572.5930375299972
