d,w,p,pg
934,2,828,523.7200445326632
935,3,764,633.08789794166
936,4,677,693.2651124187678
937,5,641,730.9004096049483
938,6,552,756.3377984166541
939,7,241,774.4320560794573
940,1,1,271.29530518461047
941,2,681,527.7537733309858
942,3,667,637.9601075356729
943,4,643,698.6062386186223
944,5,887,736.5410973141838
945,6,577,762.1864060094624
946,7,241,780.4334153699208
947,1,1,273.3999694529291
948,2,675,531.7875021293085
949,3,774,642.8323171296861
950,4,662,703.9473648184769
951,5,741,742.1817850234195
952,6,663,768.0350136022707
953,7,241,786.4347746603844
955,2,744,535.821230927631
956,3,726,647.704526723699
957,4,673,709.2884910183315
958,5,682,747.822472732655
959,6,635,773.8836211950791
960,7,233,792.436133950848
961,1,3,277.60929798956636
962,2,738,539.8549597259536
963,3,726,652.5767363177121
964,4,737,714.629617218186
965,5,691,753.4631604418906
966,6,605,779.7322287878875
967,7,221,798.4374932413116
968,1,2,279.713962257885
969,2,725,543.8886885242762
970,3,655,657.4489459117251
971,4,699,719.9707434180406
972,5,686,759.1038481511262
973,6,837,785.5808363806958
974,7,306,804.4388525317751
975,1,1,281.8186265262036
976,2,809,547.9224173225987
977,3,684,662.3211555057381
978,4,722,725.3118696178951
979,5,687,764.7445358603618
980,6,7,791.4294439735041
981,7,211,810.4402118222387
982,1,2,283.92329079452225
983,2,751,551.9561461209213
984,3,778,667.1933650997512
985,4,812,730.6529958177497
986,5,720,770.3852235695973
987,6,683,797.2780515663126
988,7,265,816.4415711127023
989,1,16,286.027955062841
990,2,802,555.9898749192439
991,3,866,672.0655746937642
992,4,750,735.9941220176042
993,5,720,776.0259112788328
994,6,710,803.1266591591209
995,7,286,822.4429304031657
996,1,1,288.1326193311596
997,2,790,560.0236037175664
998,3,801,676.9377842877773
999,4,774,741.3352482174588
1000,5,733,781.6665989880685
1001,6,619,808.9752667519292
1002,7,304,828.4442896936293
1003,1,2,290.23728359947825
1004,2,782,564.057332515889
1005,3,724,681.8099938817903
1006,4,734,746.6763744173134
1007,5,752,787.307286697304
1008,6,673,814.8238743447375
1009,7,296,834.4456489840929
1011,2,726,568.0910613142116
1012,3,867,686.6822034758034
1013,4,722,752.0175006171678
1014,5,736,792.9479744065396
1015,6,6,820.672481937546
1016,7,269,840.4470082745565
1017,1,3,294.4466121361155
1018,2,733,572.1247901125341
1019,3,832,691.5544130698163
1020,4,954,757.3586268170225
1021,5,833,798.5886621157752
1022,6,869,826.5210895303543
1023,7,420,846.44836756502
1025,2,973,576.1585189108567
1026,3,1029,696.4266226638294
1027,4,957,762.6997530168769
1028,5,903,804.2293498250108
1029,6,851,832.3696971231626
1030,7,402,852.4497268554836
1031,1,2,298.6559406727529
1032,2,992,580.1922477091794
1033,3,907,701.2988322578426
1034,4,896,768.0408792167316
1035,5,892,809.8700375342464
1036,6,1,838.218304715971
1037,7,352,858.4510861459473
1038,1,3,300.7606049410716
1039,2,1040,584.2259765075019
1040,3,902,706.1710418518555
1041,4,1052,773.3820054165863
1042,5,921,815.510725243482
1043,6,949,844.0669123087795
1044,7,369,864.4524454364108
1045,1,1,302.86526920939025
1046,2,1027,588.2597053058245
1047,3,533,711.0432514458687
1048,4,1193,778.7231316164407
1049,5,24,821.1514129527176
1050,6,1010,849.9155199015878
1051,7,407,870.4538047268744
1052,1,1,304.9699334777089
1053,2,992,592.2934341041471
1054,3,568,715.9154610398818
1055,4,973,784.0642578162953
1056,5,1046,826.7921006619531
1057,6,910,855.764127494396
1058,7,391,876.4551640173379
1059,1,1,307.0745977460275
1060,2,1063,596.3271629024696
1061,3,1071,720.7876706338948
1062,4,1073,789.4053840161498
1063,5,1013,832.4327883711887
1064,6,956,861.6127350872044
1065,7,396,882.4565233078014
1067,2,1098,600.3608917007923
1068,3,1167,725.6598802279079
