x,F,PG
-10,77,-3530.6564210025745
-9.9,75.21000000000001,-3431.754229193614
-9.8,73.44000000000003,-3334.725513456646
-9.700000000000001,71.69000000000001,-3239.5522737916717
-9.600000000000001,69.96000000000002,-3146.216510198691
-9.500000000000002,68.25000000000003,-3054.7002226777045
-9.400000000000002,66.56000000000003,-2964.9854112287107
-9.300000000000002,64.89000000000004,-2877.05407585171
-9.200000000000003,63.24000000000005,-2790.888216546703
-9.100000000000003,61.610000000000056,-2706.4698333136894
-9.000000000000004,60.000000000000064,-2623.78092615267
-8.900000000000004,58.41000000000005,-2542.803495063643
-8.800000000000004,56.84000000000006,-2463.51954004661
-8.700000000000005,55.29000000000008,-2385.9110611015703
-8.600000000000005,53.76000000000007,-2309.960058228524
-8.500000000000005,52.25000000000007,-2235.6485314274714
-8.400000000000006,50.76000000000009,-2162.958480698412
-8.300000000000006,49.29000000000009,-2091.871906041346
-8.200000000000006,47.840000000000096,-2022.3708074562737
-8.100000000000007,46.410000000000096,-1954.4371849431948
-8.000000000000007,45.0000000000001,-1888.053038502109
-7.9000000000000075,43.6100000000001,-1823.200368133017
-7.800000000000008,42.24000000000011,-1759.8611738359184
-7.700000000000008,40.890000000000114,-1698.0174556108132
-7.6000000000000085,39.560000000000116,-1637.6512134577013
-7.500000000000009,38.250000000000114,-1578.7444473765831
-7.400000000000009,36.96000000000012,-1521.279157367458
-7.30000000000001,35.690000000000126,-1465.2373434303267
-7.20000000000001,34.440000000000126,-1410.6010055651886
-7.10000000000001,33.21000000000012,-1357.3521437720442
-7.000000000000011,32.00000000000013,-1305.472758050893
-6.900000000000011,30.81000000000013,-1254.9448484017353
-6.800000000000011,29.64000000000013,-1205.750414824571
-6.700000000000012,28.490000000000133,-1157.8714573194002
-6.600000000000012,27.360000000000134,-1111.289975886223
-6.500000000000012,26.25000000000014,-1065.9879705250391
-6.400000000000013,25.16000000000014,-1021.9474412358487
-6.300000000000013,24.090000000000142,-979.1503880186517
-6.2000000000000135,23.04000000000014,-937.5788108734481
-6.100000000000014,22.010000000000144,-897.2147098002381
-6.000000000000014,21.000000000000142,-858.0400847990215
-5.900000000000015,20.010000000000144,-820.0369358697982
-5.800000000000015,19.04000000000014,-783.1872630125683
-5.700000000000015,18.090000000000142,-747.4730662273321
-5.600000000000016,17.160000000000142,-712.8763455140894
-5.500000000000016,16.250000000000146,-679.37910087284
-5.400000000000016,15.360000000000145,-646.963332303584
-5.300000000000017,14.490000000000144,-615.6110398063215
-5.200000000000017,13.640000000000143,-585.3042233810525
-5.100000000000017,12.810000000000144,-556.0248830277769
-5.000000000000018,12.000000000000142,-527.7550187464948
-4.900000000000018,11.210000000000143,-500.47663053720606
-4.8000000000000185,10.44000000000014,-474.17171839991084
-4.700000000000019,9.69000000000014,-448.822282334609
-4.600000000000019,8.96000000000014,-424.4103223413006
