x,y,F,PG
-10,-10,47,-53.70275734190241
-9,-10,39,-51.70275734190241
-8,-10,31,-49.70275734190241
-7,-10,23,-47.70275734190241
-6,-10,15,-45.70275734190241
-5,-10,7,-43.70275734190241
-4,-10,-1,-41.70275734190241
-3,-10,-9,-39.70275734190241
-2,-10,-17,-37.70275734190241
-1,-10,-25,-35.70275734190241
0,-10,-33,-33.70275734190241
1,-10,-41,-31.70275734190241
2,-10,-49,-29.70275734190241
3,-10,-57,-27.70275734190241
4,-10,-65,-25.70275734190241
5,-10,-73,-23.70275734190241
6,-10,-81,-21.70275734190241
7,-10,-89,-19.70275734190241
8,-10,-97,-17.70275734190241
9,-10,-105,-15.702757341902409
10,-10,-113,-13.702757341902409
-10,-9,40,-50.70275734190241
-9,-9,33,-48.70275734190241
-8,-9,26,-46.70275734190241
-7,-9,19,-44.70275734190241
-6,-9,12,-42.70275734190241
-5,-9,5,-40.70275734190241
-4,-9,-2,-38.70275734190241
-3,-9,-9,-36.70275734190241
-2,-9,-16,-34.70275734190241
-1,-9,-23,-32.70275734190241
0,-9,-30,-30.70275734190241
1,-9,-37,-28.70275734190241
2,-9,-44,-26.70275734190241
3,-9,-51,-24.70275734190241
4,-9,-58,-22.70275734190241
5,-9,-65,-20.70275734190241
6,-9,-72,-18.70275734190241
7,-9,-79,-16.70275734190241
8,-9,-86,-14.702757341902409
9,-9,-93,-12.702757341902409
10,-9,-100,-10.702757341902409
-10,-8,33,-47.70275734190241
-9,-8,27,-45.70275734190241
-8,-8,21,-43.70275734190241
-7,-8,15,-41.70275734190241
-6,-8,9,-39.70275734190241
-5,-8,3,-37.70275734190241
-4,-8,-3,-35.70275734190241
-3,-8,-9,-33.70275734190241
-2,-8,-15,-31.70275734190241
-1,-8,-21,-29.70275734190241
0,-8,-27,-27.70275734190241
1,-8,-33,-25.70275734190241
2,-8,-39,-23.70275734190241
3,-8,-45,-21.70275734190241
4,-8,-51,-19.70275734190241
5,-8,-57,-17.70275734190241
6,-8,-63,-15.702757341902409
7,-8,-69,-13.702757341902409
8,-8,-75,-11.702757341902409
9,-8,-81,-9.702757341902409
10,-8,-87,-7.70275734190241
-10,-7,26,-44.70275734190241
-9,-7,21,-42.70275734190241
-8,-7,16,-40.70275734190241
-7,-7,11,-38.70275734190241
-6,-7,6,-36.70275734190241
-5,-7,1,-34.70275734190241
-4,-7,-4,-32.70275734190241
-3,-7,-9,-30.70275734190241
-2,-7,-14,-28.70275734190241
-1,-7,-19,-26.70275734190241
0,-7,-24,-24.70275734190241
1,-7,-29,-22.70275734190241
2,-7,-34,-20.70275734190241
3,-7,-39,-18.70275734190241
4,-7,-44,-16.70275734190241
5,-7,-49,-14.702757341902409
6,-7,-54,-12.702757341902409
7,-7,-59,-10.702757341902409
8,-7,-64,-8.702757341902409
9,-7,-69,-6.70275734190241
10,-7,-74,-4.70275734190241
-10,-6,19,-41.70275734190241
-9,-6,15,-39.70275734190241
-8,-6,11,-37.70275734190241
-7,-6,7,-35.70275734190241
-6,-6,3,-33.70275734190241
-5,-6,-1,-31.70275734190241
-4,-6,-5,-29.70275734190241
-3,-6,-9,-27.70275734190241
-2,-6,-13,-25.70275734190241
-1,-6,-17,-23.70275734190241
0,-6,-21,-21.70275734190241
1,-6,-25,-19.70275734190241
2,-6,-29,-17.70275734190241
3,-6,-33,-15.702757341902409
4,-6,-37,-13.702757341902409
5,-6,-41,-11.702757341902409
6,-6,-45,-9.702757341902409
7,-6,-49,-7.70275734190241
8,-6,-53,-5.70275734190241
9,-6,-57,-3.7027573419024096
10,-6,-61,-1.7027573419024096
-10,-5,12,-38.70275734190241
-9,-5,9,-36.70275734190241
-8,-5,6,-34.70275734190241
