d,w,p,pg
934,2,828,422.059487037392
935,3,764,593.6353940004635
936,4,677,679.9381540311288
937,5,641,732.1245494026421
938,6,552,767.2507881295921
939,7,241,792.6276405617026
940,1,1,-91.08425820981275
941,2,681,425.23310219995534
942,3,667,598.0844758922332
943,4,643,685.0249683468737
944,5,887,737.5940028603494
945,6,577,772.975334213966
946,7,241,798.5343955966325
947,1,1,-91.73705842653389
948,2,675,428.40671655938297
949,3,774,602.5335571732968
950,4,662,690.1117821621793
951,5,741,743.063455888473
952,6,663,778.6998799180348
953,7,241,804.4411502875088
955,2,744,431.58033013340673
956,3,726,606.9826378571246
957,4,673,695.1985954880731
958,5,682,748.5329084964691
959,6,635,784.4244252501617
960,7,233,810.347904641889
961,1,3,-93.04266227229566
962,2,738,434.7539429392402
963,3,726,611.4317179567938
964,4,737,700.2854083352604
965,5,691,754.0023606935184
966,6,605,790.1489702184659
967,7,221,816.2546586671117
968,1,2,-93.69546585180109
969,2,725,437.9275549935976
970,3,655,615.8807974850026
971,4,699,705.3722207141368
972,5,686,759.4718124885359
973,6,837,795.8735148308326
974,7,306,822.1614123703031
975,1,1,-94.34827050388893
976,2,809,441.10116631271165
977,3,684,620.3298764540834
978,4,722,710.4590326347992
979,5,687,764.9412638901811
980,6,7,801.5980590949205
981,7,211,828.0681657583852
982,1,2,-95.00107620553823
983,2,751,444.27477691235123
984,3,778,624.7789548760171
985,4,812,715.5458441070563
986,5,720,770.410714906866
987,6,683,807.3226030181697
988,7,265,833.9749188380835
989,1,16,-95.65388293438225
990,2,802,447.4483868078369
991,3,866,629.2280327624437
992,4,750,720.6326551404384
993,5,720,775.8801655467647
994,6,710,813.0471466078108
995,7,286,839.8816716159329
996,1,1,-96.30669066868451
997,2,790,450.62199601405786
998,3,801,633.6771101246762
999,4,774,725.719465744208
1000,5,733,781.3496158178216
1001,6,619,818.7716898708705
1002,7,304,845.7884240982851
1003,1,2,-96.95949938731853
1004,2,782,453.79560454548624
1005,3,724,638.1261869737109
1006,4,734,730.8062759273689
1007,5,752,786.8190657277593
1008,6,673,824.4962328141798
1009,7,296,851.695176291315
1011,2,726,456.96921241619174
1012,3,867,642.5752633202384
1013,4,722,735.8930856986747
1014,5,736,792.2885152840862
1015,6,6,830.2207754443807
1016,7,269,857.6019282010263
1017,1,3,-98.26511969599146
1018,2,733,460.142819639856
1019,3,832,647.0243391746549
1020,4,954,740.9798950666378
1021,5,833,797.7579644941037
1022,6,869,835.9453177679324
1023,7,420,863.5086798332586
1025,2,973,463.31642622978484
1026,3,1029,651.473414547071
1027,4,957,746.0667040395381
1028,5,903,803.2274133649146
1029,6,851,841.6698597911173
1030,7,402,869.4154311936909
1031,1,2,-99.57074370278089
1032,2,992,466.4900321989224
1033,3,907,655.9224894473233
1034,4,896,751.1535126254299
1035,5,892,808.6968619034271
1036,6,1,847.394401520048
1037,7,352,875.322182287849
1038,1,3,-100.22355704604645
1039,2,1040,469.6636375598623
1040,3,902,660.3715638849818
1041,4,1052,756.2403208321501
1042,5,921,814.1663101163647
1043,6,949,853.1189429606716
1044,7,369,881.2289331211101
1045,1,1,-100.87637125854317
1046,2,1027,472.83724232486014
1047,3,533,664.8206378693595
1048,4,1193,761.3271286673255
1049,5,24,819.6357580102698
1050,6,1010,858.843484118777
1051,7,407,887.135683698707
1052,1,1,-101.52918632285967
1053,2,992,476.010846505844
1054,3,568,669.269711409522
1055,4,973,766.4139361383799
1056,5,1046,825.1052055915111
1057,6,910,864.5680249999982
1058,7,391,893.0424340257337
1059,1,1,-102.18200222204744
1060,2,1063,479.18445011442606
1061,3,1071,673.7187845142936
1062,4,1073,771.5007432525405
1063,5,1013,830.5746528662885
1064,6,956,870.2925656098206
1065,7,396,898.9491841071499
1067,2,1098,482.3580531619125
1068,3,1167,678.1678571922672
