d,w,p,pg
934,2,828,757.9737679945185
935,3,764,757.0459972257962
936,4,677,756.801282684991
937,5,641,756.6250148508058
938,6,552,756.4163148115591
939,7,241,756.225337736968
940,1,1,763.0247799555536
941,2,681,763.5123981126375
942,3,667,762.6401243695791
943,4,643,762.4660921195805
944,5,887,762.253301426696
945,6,577,762.0486499676286
946,7,241,761.8649611642636
947,1,1,768.6534720529545
948,2,675,769.0510298566379
949,3,774,768.2968800827744
950,4,662,768.0971140395267
951,5,741,767.8815899835876
952,6,663,767.6809872230729
953,7,241,767.489053068799
955,2,744,774.5896631906922
956,3,726,773.9536375017883
957,4,673,773.7281377810567
958,5,682,773.5098804778273
959,6,635,773.31332653163
960,7,233,773.1286808827199
961,1,3,779.9414950417091
962,2,738,780.1282980800182
963,3,726,779.547769764149
964,4,737,779.3591633043231
965,5,691,779.1620969458181
966,6,605,778.9644328026178
967,7,221,778.7527770775672
968,1,2,785.5701914661614
969,2,725,785.6669344908405
970,3,655,785.2045304839368
971,4,699,784.9901905706328
972,5,686,784.7903911888434
973,6,837,784.5967760839662
974,7,306,784.3924090882854
975,1,1,791.1988892709206
976,2,809,791.205572390355
977,3,684,790.7986659756441
978,4,722,790.6212195424044
979,5,687,790.4186872457159
980,6,7,790.2291212875467
981,7,211,790.0320431296208
982,1,2,796.827588426439
983,2,751,796.7442117466933
984,3,778,796.4554298553977
985,4,812,796.2522501831302
986,5,720,796.0469850776071
987,6,683,795.8614683722109
988,7,265,795.6561454175969
989,1,16,802.4562889040062
990,2,802,802.2828525288908
991,3,866,802.1121952648213
992,4,750,801.8832824573356
993,5,720,801.6992087255707
994,6,710,801.4938172979761
995,7,286,801.295783390992
996,1,1,808.1156250790542
997,2,790,808.6417213020011
998,3,801,807.706335346472
999,4,774,807.5143163305457
1000,5,733,807.3275099953767
1001,6,619,807.1261680259848
1002,7,304,806.9354232682505
1003,1,2,813.7443281177906
1004,2,782,814.1803648464771
1005,3,724,813.3631037192832
1006,4,734,813.1453517692484
1007,5,752,812.9558129301645
1008,6,673,812.7585205184654
1009,7,296,812.559531268963
1011,2,726,819.7190097290255
1012,3,867,819.0198735275858
1013,4,722,818.7763887408613
1014,5,736,818.584117495282
1015,6,6,818.3908747386948
1016,7,269,818.1991748353507
1017,1,3,825.0017378915793
1018,2,733,825.2576559219891
1019,3,832,824.6140179165513
1020,4,954,824.4074272137005
1021,5,833,824.2124236570314
1022,6,869,824.0232306509616
1023,7,420,823.8232864486737
1025,2,973,830.7963033984678
1026,3,1029,830.2707905076369
1027,4,957,830.0722565342203
1028,5,903,829.864655461419
1029,6,851,829.6555882205316
1030,7,402,829.4629335532547
1031,1,2,836.2591524263186
1032,2,992,836.3349521322929
1033,3,907,835.9275644476107
1034,4,896,835.7032979178989
1035,5,892,835.4929647189964
1036,6,1,835.2879474136153
1037,7,352,835.1025823728912
1038,1,3,841.9184958221217
1039,2,1040,841.8736020980023
1040,3,902,841.5217128839992
1041,4,1052,841.3343407128377
1042,5,921,841.1212754775222
1043,6,949,840.9203081973353
1044,7,369,840.7266991323445
1045,1,1,847.5472059338109
1046,2,1027,847.4122532708166
1047,3,533,847.178489440534
1048,4,1193,846.9653848906497
1049,5,24,846.7495877068048
1050,6,1010,846.5526705396961
1051,7,407,846.3663512788303
1052,1,1,853.175917142358
1053,2,992,853.7711322217639
1054,3,568,852.7726404410253
1055,4,973,852.5964304237033
1056,5,1046,852.4018254562392
1057,6,910,852.203799363784
1058,7,391,852.0060050389415
1059,1,1,858.8046294259917
1060,2,1063,859.3097857370692
1061,3,1071,858.4294195105973
1062,4,1073,858.2274772850986
1063,5,1013,858.0301405396519
1064,6,956,857.8361647308212
1065,7,396,857.6301266401421
1067,2,1098,864.848440389016
1068,3,1167,864.086199799565
