d,w,p,pg
934,2,828,553.1110651728646
935,3,764,554.1891659018048
936,4,677,554.7866266328434
937,5,641,555.3795669338306
938,6,552,555.9973389658236
939,7,241,556.6008995860007
940,1,1,557.1996627617435
941,2,681,557.6206487365499
942,3,667,558.375307747682
943,4,643,558.9820954452017
944,5,887,559.5921387897979
945,6,577,560.2155650905164
946,7,241,560.8054806795931
947,1,1,561.3938266208314
948,2,675,561.310005705088
949,3,774,562.5614495935595
950,4,662,563.211353634831
951,5,741,563.8047106457651
952,6,663,564.4150262609803
953,7,241,565.025595513693
955,2,744,565.8195892687731
956,3,726,566.8102182645944
957,4,673,567.4068224471893
958,5,682,568.0172825017324
959,6,635,568.6332523856731
960,7,233,569.2301766072854
961,1,3,569.812788742342
962,2,738,570.3291728324585
963,3,726,570.9963601104719
964,4,737,571.6360806368186
965,5,691,572.2298543576999
966,6,605,572.8327135561366
967,7,221,573.4502914413855
968,1,2,574.0375870047651
969,2,725,574.0185298009965
970,3,655,575.2451287815068
971,4,699,575.8315494491768
972,5,686,576.4424262136671
973,6,837,577.0509396808295
974,7,306,577.654872534978
975,1,1,578.2623852671879
976,2,809,578.5281133646816
977,3,684,579.431270627384
978,4,722,580.0608076388063
979,5,687,580.6549980696345
980,6,7,581.2691658055223
981,7,211,581.8594536285707
982,1,2,582.456549126276
983,2,751,583.0376969283668
984,3,778,583.6174124732613
985,4,812,584.2562764511648
986,5,720,584.8675699256017
987,6,683,585.4686269759858
988,7,265,586.0795684626706
989,1,16,586.6813473886989
990,2,802,586.7270538969047
991,3,866,587.8661811442965
992,4,750,588.4855346407941
993,5,720,589.080141781569
994,6,710,589.6868531006791
995,7,286,590.284149556263
996,1,1,590.8755112477869
997,2,790,591.2366374605899
998,3,801,592.0523229901736
999,4,774,592.6810034531524
1000,5,733,593.2927136375364
1001,6,619,593.9050792253719
1002,7,304,594.504264390363
1003,1,2,595.1003095102097
1004,2,782,594.9259944291282
1005,3,724,596.3010916612085
1006,4,734,596.9102616427817
1007,5,752,597.505285493504
1008,6,673,598.1045403958353
1009,7,296,598.7088454839554
1011,2,726,599.4355779928134
1012,3,867,600.4872335070859
1013,4,722,601.1057304551399
1014,5,736,601.7178573494712
1015,6,6,602.3227665205281
1016,7,269,602.9289603180555
1017,1,3,603.5192716317205
1018,2,733,603.9451615564985
1019,3,832,604.6733753529631
1020,4,954,605.3349886447694
1021,5,833,605.9304292054385
1022,6,869,606.5222276909917
1023,7,420,607.1335414116478
1025,2,973,607.6345185250365
1026,3,1029,608.922144023998
1027,4,957,609.5304574571278
1028,5,903,610.1430010614058
1029,6,851,610.7404538156846
1030,7,402,611.3381225052406
1031,1,2,611.9382337532313
1032,2,992,612.1441020887216
1033,3,907,613.1082858698758
1034,4,896,613.725926269486
1035,5,892,614.3555729173729
1036,6,1,614.9586799403776
1037,7,352,615.5582373393404
1038,1,3,616.1630320156542
1039,2,1040,616.6536856524069
1040,3,902,617.3570545409106
1041,4,1052,617.9551844591152
1042,5,921,618.5681447733405
1043,6,949,619.1581411108413
1044,7,369,619.7628184329329
1045,1,1,620.3571958747422
1046,2,1027,620.3430426209451
1047,3,533,621.5431963867878
1048,4,1193,622.1506532714736
1049,5,24,622.7807166293076
1050,6,1010,623.3763672355341
1051,7,407,623.982933267033
1052,1,1,624.581994137165
1053,2,992,624.8526261846303
1054,3,568,625.7293382326651
1055,4,973,626.379911461103
1056,5,1046,626.969364406493
1057,6,910,627.5758284059976
1058,7,391,628.1875143606254
1059,1,1,628.776157996253
1060,2,1063,629.3622097483155
1061,3,1071,629.9781069037
1062,4,1073,630.5753802734612
1063,5,1013,631.1819362624603
1064,6,956,631.7940545306906
1065,7,396,632.3920954542177
1067,2,1098,633.0515667168535
1068,3,1167,634.1642487495773
