expressao,(dom(add(add(add(-793.8719464153379,externals['d']),-384.30111351115715),dom(add(-98.03428402854001,externals['d'])))))
parametros,/usr/local/bin/node,/home/munif/projetos/josilts/dist/index.js,2000,6,10000
d,w,p,pg,distance
1041,4,1052,806,246
1042,5,921,808,113
1043,6,949,810,139
1044,7,369,812,443
1045,1,1,0,1
1046,2,1027,816,211
1047,3,533,818,285
1048,4,1193,820,373
1049,5,24,822,798
1050,6,1010,824,186
1051,7,407,826,419
1052,1,1,0,1
1053,2,992,830,162
1054,3,568,832,264
1055,4,973,834,139
1056,5,1046,836,210
1057,6,910,838,72
1058,7,391,840,449
1059,1,1,0,1
1060,2,1063,844,219
1061,3,1071,846,225
1062,4,1073,848,225
1063,5,1013,850,163
1064,6,956,852,104
1065,7,396,854,458
1067,2,1098,858,240
1068,3,1167,860,307
