d,w,p,pg
934,2,828,934
935,3,764,935
936,4,677,936
937,5,641,937
938,6,552,938
939,7,241,939
940,1,1,940
941,2,681,941
942,3,667,942
943,4,643,943
944,5,887,944
945,6,577,945
946,7,241,946
947,1,1,947
948,2,675,948
949,3,774,949
950,4,662,950
951,5,741,951
952,6,663,952
953,7,241,953
955,2,744,955
956,3,726,956
957,4,673,957
958,5,682,958
959,6,635,959
960,7,233,960
961,1,3,961
962,2,738,962
963,3,726,963
964,4,737,964
965,5,691,965
966,6,605,966
967,7,221,967
968,1,2,968
969,2,725,969
970,3,655,970
971,4,699,971
972,5,686,972
973,6,837,973
974,7,306,974
975,1,1,975
976,2,809,976
977,3,684,977
978,4,722,978
979,5,687,979
980,6,7,980
981,7,211,981
982,1,2,982
983,2,751,983
984,3,778,984
985,4,812,985
986,5,720,986
987,6,683,987
988,7,265,988
989,1,16,989
990,2,802,990
991,3,866,991
992,4,750,992
993,5,720,993
994,6,710,994
995,7,286,995
996,1,1,996
997,2,790,997
998,3,801,998
999,4,774,999
1000,5,733,1000
1001,6,619,1001
1002,7,304,1002
1003,1,2,1003
1004,2,782,1004
1005,3,724,1005
1006,4,734,1006
1007,5,752,1007
1008,6,673,1008
1009,7,296,1009
1011,2,726,1011
1012,3,867,1012
1013,4,722,1013
1014,5,736,1014
1015,6,6,1015
1016,7,269,1016
1017,1,3,1017
1018,2,733,1018
1019,3,832,1019
1020,4,954,1020
1021,5,833,1021
1022,6,869,1022
1023,7,420,1023
1025,2,973,1025
1026,3,1029,1026
1027,4,957,1027
1028,5,903,1028
1029,6,851,1029
1030,7,402,1030
1031,1,2,1031
1032,2,992,1032
1033,3,907,1033
1034,4,896,1034
1035,5,892,1035
1036,6,1,1036
1037,7,352,1037
1038,1,3,1038
1039,2,1040,1039
1040,3,902,1040
1041,4,1052,1041
1042,5,921,1042
1043,6,949,1043
1044,7,369,1044
1045,1,1,1045
1046,2,1027,1046
1047,3,533,1047
1048,4,1193,1048
1049,5,24,1049
1050,6,1010,1050
1051,7,407,1051
1052,1,1,1052
1053,2,992,1053
1054,3,568,1054
1055,4,973,1055
1056,5,1046,1056
1057,6,910,1057
1058,7,391,1058
1059,1,1,1059
1060,2,1063,1060
1061,3,1071,1061
1062,4,1073,1062
1063,5,1013,1063
1064,6,956,1064
1065,7,396,1065
1067,2,1098,1067
1068,3,1167,1068
