d,w,p,pg
934,2,828,621.6539111612606
935,3,764,548.1883481870252
936,4,677,614.706529785243
937,5,641,535.1412762231178
938,6,552,606.9726034316446
939,7,241,520.5406117329039
940,1,1,564.1235538565089
941,2,681,626.3588185659859
942,3,667,552.3285942157227
943,4,643,619.3318477070595
944,5,887,539.1568890257305
945,6,577,611.5126135434108
946,7,241,524.4202328046412
947,1,1,568.3784406127361
948,2,675,631.0637259707112
949,3,774,556.46884024442
950,4,662,623.9571656288759
951,5,741,543.1725018283433
952,6,663,616.0526236551771
953,7,241,528.2998538763784
955,2,744,635.7686333754365
956,3,726,560.6090862731174
957,4,673,628.5824835506924
958,5,682,547.1881146309562
959,6,635,620.5926337669432
960,7,233,532.1794749481156
961,1,3,576.8882141251904
962,2,738,640.4735407801618
963,3,726,564.7493323018148
964,4,737,633.2078014725089
965,5,691,551.2037274335689
966,6,605,625.1326438787094
967,7,221,536.0590960198529
968,1,2,581.1431008814177
969,2,725,645.178448184887
970,3,655,568.8895783305122
971,4,699,637.8331193943253
972,5,686,555.2193402361818
973,6,837,629.6726539904755
974,7,306,539.9387170915902
975,1,1,585.3979876376447
976,2,809,649.8833555896124
977,3,684,573.0298243592097
978,4,722,642.4584373161417
979,5,687,559.2349530387946
980,6,7,634.2126641022417
981,7,211,543.8183381633273
982,1,2,589.652874393872
983,2,751,654.5882629943376
984,3,778,577.1700703879071
985,4,812,647.0837552379583
986,5,720,563.2505658414075
987,6,683,638.7526742140079
988,7,265,547.6979592350647
989,1,16,593.9077611500991
990,2,802,659.2931703990629
991,3,866,581.3103164166046
992,4,750,651.7090731597747
993,5,720,567.2661786440203
994,6,710,643.2926843257741
995,7,286,551.5775803068019
996,1,1,598.1626479063264
997,2,790,663.9980778037882
998,3,801,585.450562445302
999,4,774,656.3343910815911
1000,5,733,571.2817914466332
1001,6,619,647.8326944375403
1002,7,304,555.4572013785391
1003,1,2,602.4175346625535
1004,2,782,668.7029852085134
1005,3,724,589.5908084739995
1006,4,734,660.9597090034076
1007,5,752,575.297404249246
1008,6,673,652.3727045493065
1009,7,296,559.3368224502764
1011,2,726,673.4078926132388
1012,3,867,593.7310545026968
1013,4,722,665.585026925224
1014,5,736,579.3130170518589
1015,6,6,656.9127146610726
1016,7,269,563.2164435220136
1017,1,3,610.9273081750079
1018,2,733,678.112800017964
1019,3,832,597.8713005313942
1020,4,954,670.2103448470405
1021,5,833,583.3286298544717
1022,6,869,661.4527247728388
1023,7,420,567.096064593751
1025,2,973,682.8177074226893
1026,3,1029,602.0115465600916
1027,4,957,674.835662768857
1028,5,903,587.3442426570846
1029,6,851,665.9927348846052
1030,7,402,570.9756856654883
1031,1,2,619.4370816874622
1032,2,992,687.5226148274147
1033,3,907,606.1517925887892
1034,4,896,679.4609806906735
1035,5,892,591.3598554596974
1036,6,1,670.5327449963713
1037,7,352,574.8553067372254
1038,1,3,623.6919684436895
1039,2,1040,692.22752223214
1040,3,902,610.2920386174866
1041,4,1052,684.0862986124899
1042,5,921,595.3754682623103
1043,6,949,675.0727551081375
1044,7,369,578.7349278089628
1045,1,1,627.9468551999166
1046,2,1027,696.9324296368652
1047,3,533,614.432284646184
1048,4,1193,688.7116165343064
1049,5,24,599.3910810649231
1050,6,1010,679.6127652199036
1051,7,407,582.6145488807
1052,1,1,632.2017419561439
1053,2,992,701.6373370415906
1054,3,568,618.5725306748815
1055,4,973,693.3369344561229
1056,5,1046,603.406693867536
1057,6,910,684.1527753316698
1058,7,391,586.4941699524372
1059,1,1,636.456628712371
1060,2,1063,706.3422444463158
1061,3,1071,622.7127767035788
1062,4,1073,697.9622523779393
1063,5,1013,607.4223066701488
1064,6,956,688.6927854434359
1065,7,396,590.3737910241745
1067,2,1098,711.0471518510411
1068,3,1167,626.8530227322763
